camera,ros_frame_count,charuco_id,paper_x_gt_mm,paper_y_gt_mm,u_undist_px,v_undist_px,detected_aruco_markers,detected_charuco_corners
ihawk1,14,35,-16.0,-42.0,336.3647155761719,248.61473083496094,29,45
ihawk1,14,38,59.0,-42.0,370.0439758300781,273.364990234375,29,45
ihawk2,15,11,-16.0,33.0,333.5038757324219,326.46746826171875,28,38
ihawk2,15,14,59.0,33.0,395.2492370605469,324.6097717285156,28,38
ihawk2,15,19,-16.0,8.0,332.2022399902344,311.8759460449219,28,38
ihawk2,15,22,59.0,8.0,390.6661376953125,310.8620910644531,28,38
ihawk2,15,33,-66.0,-42.0,293.77935791015625,286.6031188964844,28,38
ihawk2,15,38,59.0,-42.0,383.8196716308594,285.3636169433594,28,38
ihawk1,15,9,-66.0,33.0,276.9739685058594,251.0032958984375,28,40
ihawk1,15,11,-16.0,33.0,295.34356689453125,267.9055480957031,28,40
ihawk1,15,14,59.0,33.0,328.3943786621094,295.8091735839844,28,40
ihawk1,15,19,-16.0,8.0,310.07281494140625,260.3740234375,28,40
ihawk1,15,22,59.0,8.0,343.1319274902344,288.3319091796875,28,40
ihawk1,15,33,-66.0,-42.0,316.9526062011719,233.47813415527344,28,40
ihawk1,15,35,-16.0,-42.0,336.3915100097656,248.59600830078125,28,40
ihawk1,15,38,59.0,-42.0,370.0519714355469,273.2220764160156,28,40
ihawk2,16,11,-16.0,33.0,333.5160827636719,326.4715270996094,29,42
ihawk2,16,14,59.0,33.0,395.3846740722656,324.4996337890625,29,42
ihawk2,16,19,-16.0,8.0,332.22076416015625,311.8687438964844,29,42
ihawk2,16,22,59.0,8.0,390.63134765625,310.83349609375,29,42
ihawk2,16,33,-66.0,-42.0,293.7578430175781,286.619140625,29,42
ihawk2,16,35,-16.0,-42.0,329.8917236328125,286.65985107421875,29,42
ihawk2,16,38,59.0,-42.0,383.814697265625,285.3589172363281,29,42
ihawk1,16,9,-66.0,33.0,276.9944763183594,250.9928741455078,27,39
ihawk1,16,11,-16.0,33.0,295.3540344238281,267.9560241699219,27,39
ihawk1,16,14,59.0,33.0,328.4035339355469,295.8046569824219,27,39
ihawk1,16,19,-16.0,8.0,310.0660400390625,260.36993408203125,27,39
ihawk1,16,22,59.0,8.0,343.1004638671875,288.3019714355469,27,39
ihawk1,16,33,-66.0,-42.0,316.9043273925781,233.46630859375,27,39
ihawk1,16,35,-16.0,-42.0,336.39471435546875,248.6078338623047,27,39
ihawk1,16,38,59.0,-42.0,370.0646667480469,273.3521423339844,27,39
ihawk2,17,9,-66.0,33.0,292.1326599121094,327.2476501464844,29,42
ihawk2,17,11,-16.0,33.0,333.55810546875,326.58856201171875,29,42
ihawk2,17,14,59.0,33.0,395.2511901855469,324.6041564941406,29,42
ihawk2,17,17,-66.0,8.0,292.7928771972656,312.2204284667969,29,42
ihawk2,17,19,-16.0,8.0,332.21649169921875,311.86895751953125,29,42
ihawk2,17,22,59.0,8.0,390.6285400390625,310.8324279785156,29,42
ihawk2,17,33,-66.0,-42.0,293.7536926269531,286.626953125,29,42
ihawk2,17,38,59.0,-42.0,383.8055114746094,285.3537292480469,29,42
ihawk1,17,9,-66.0,33.0,276.9831237792969,250.9981231689453,28,43
ihawk1,17,11,-16.0,33.0,295.2847595214844,268.0091247558594,28,43
ihawk1,17,14,59.0,33.0,328.3994445800781,295.843994140625,28,43
ihawk1,17,17,-66.0,8.0,291.123779296875,244.28460693359375,28,43
ihawk1,17,19,-16.0,8.0,310.0519104003906,260.34490966796875,28,43
ihawk1,17,22,59.0,8.0,343.090576171875,288.2106628417969,28,43
ihawk1,17,33,-66.0,-42.0,316.9124450683594,233.47021484375,28,43
ihawk1,17,35,-16.0,-42.0,336.4289245605469,248.61106872558594,28,43
ihawk1,17,38,59.0,-42.0,370.052001953125,273.2807922363281,28,43
ihawk2,18,9,-66.0,33.0,292.15863037109375,327.2525939941406,29,42
ihawk2,18,11,-16.0,33.0,333.5747985839844,326.5930480957031,29,42
ihawk2,18,14,59.0,33.0,395.2783508300781,324.6097717285156,29,42
ihawk2,18,17,-66.0,8.0,292.8024597167969,312.1839294433594,29,42
ihawk2,18,19,-16.0,8.0,332.2055969238281,311.8770446777344,29,42
ihawk2,18,22,59.0,8.0,390.6558837890625,310.82550048828125,29,42
ihawk2,18,35,-16.0,-42.0,329.96453857421875,286.6238098144531,29,42
ihawk2,18,38,59.0,-42.0,383.8078308105469,285.3459167480469,29,42
ihawk1,18,9,-66.0,33.0,276.9832763671875,250.99803161621094,28,43
ihawk1,18,11,-16.0,33.0,295.33050537109375,267.970703125,28,43
ihawk1,18,14,59.0,33.0,328.4073486328125,295.8626403808594,28,43
ihawk1,18,17,-66.0,8.0,291.1192932128906,244.28236389160156,28,43
ihawk1,18,19,-16.0,8.0,310.0527038574219,260.3443603515625,28,43
ihawk1,18,22,59.0,8.0,343.0908203125,288.217529296875,28,43
ihawk1,18,33,-66.0,-42.0,316.9121398925781,233.4750213623047,28,43
ihawk1,18,35,-16.0,-42.0,336.4130859375,248.61439514160156,28,43
ihawk1,18,38,59.0,-42.0,370.0478210449219,273.2297668457031,28,43
ihawk2,19,9,-66.0,33.0,292.1523742675781,327.2770080566406,30,46
ihawk2,19,11,-16.0,33.0,333.5776062011719,326.55914306640625,30,46
ihawk2,19,14,59.0,33.0,395.4508056640625,324.4652404785156,30,46
ihawk2,19,17,-66.0,8.0,292.78680419921875,312.2893981933594,30,46
ihawk2,19,19,-16.0,8.0,332.2004089355469,311.87335205078125,30,46
ihawk2,19,22,59.0,8.0,390.6633605957031,310.86669921875,30,46
ihawk2,19,33,-66.0,-42.0,293.7166442871094,286.595458984375,30,46
ihawk2,19,35,-16.0,-42.0,329.86541748046875,286.6230773925781,30,46
ihawk2,19,38,59.0,-42.0,383.8045349121094,285.3553161621094,30,46
ihawk1,19,9,-66.0,33.0,276.9693298339844,251.00653076171875,29,45
ihawk1,19,11,-16.0,33.0,295.2944030761719,267.9478759765625,29,45
ihawk1,19,14,59.0,33.0,328.3915100097656,295.8731384277344,29,45
ihawk1,19,17,-66.0,8.0,291.1192932128906,244.28236389160156,29,45
ihawk1,19,19,-16.0,8.0,310.0563659667969,260.3538513183594,29,45
ihawk1,19,22,59.0,8.0,343.0665283203125,288.18896484375,29,45
ihawk1,19,33,-66.0,-42.0,316.9002990722656,233.46495056152344,29,45
ihawk1,19,35,-16.0,-42.0,336.4170837402344,248.61865234375,29,45
ihawk1,19,38,59.0,-42.0,370.0671081542969,273.17291259765625,29,45
ihawk2,20,9,-66.0,33.0,292.1260681152344,327.2670593261719,28,38
ihawk2,20,11,-16.0,33.0,333.5631103515625,326.5856628417969,28,38
ihawk2,20,14,59.0,33.0,395.29443359375,324.7107849121094,28,38
ihawk2,20,17,-66.0,8.0,292.8113098144531,312.2184143066406,28,38
ihawk2,20,19,-16.0,8.0,332.1693115234375,311.8742370605469,28,38
ihawk2,20,22,59.0,8.0,390.6871032714844,310.8550720214844,28,38
ihawk2,20,33,-66.0,-42.0,293.7787780761719,286.5411682128906,28,38
ihawk2,20,38,59.0,-42.0,383.8075256347656,285.3490295410156,28,38
ihawk1,20,9,-66.0,33.0,276.96826171875,251.00587463378906,28,41
ihawk1,20,11,-16.0,33.0,295.3345642089844,267.9291687011719,28,41
ihawk1,20,14,59.0,33.0,328.4006042480469,295.8313293457031,28,41
ihawk1,20,19,-16.0,8.0,310.0633239746094,260.3691711425781,28,41
ihawk1,20,22,59.0,8.0,343.1103210449219,288.2037048339844,28,41
ihawk1,20,33,-66.0,-42.0,316.9495544433594,233.4809112548828,28,41
ihawk1,20,35,-16.0,-42.0,336.4320373535156,248.6148223876953,28,41
ihawk1,20,38,59.0,-42.0,370.0621643066406,273.2086181640625,28,41
