run_id,camera_id,height_gt_mm,frame_index,image_relpath,native_detected_markers,native_complete,median_center_difference_from_clean_csv_px,max_center_difference_from_clean_csv_px,qc_excluded,exclusion_reason
20260808_141232,ihawk1,20.0,3,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk1\h_p020p000mm\frame_0003_color.png,5,1,7.624611675650124e-06,0.35362909018568284,0,
20260808_141232,ihawk1,25.0,1,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk1\h_p025p000mm\frame_0001_color.png,5,1,5.196055983685811e-07,1.190811182777192,0,
20260808_141232,ihawk1,25.0,2,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk1\h_p025p000mm\frame_0002_color.png,5,1,4.775790019300384e-07,1.1899107703730634,0,
20260808_141232,ihawk1,25.0,3,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk1\h_p025p000mm\frame_0003_color.png,5,1,6.25938901200969e-07,7.2243802273187285e-06,0,
20260808_141232,ihawk1,30.0,1,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk1\h_p030p000mm\frame_0001_color.png,5,1,3.5088876882001068,4.012982724184026,1,saved_image_content_mismatch
20260808_141232,ihawk1,30.0,2,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk1\h_p030p000mm\frame_0002_color.png,5,1,3.536704076540201,4.056368913216653,1,saved_image_content_mismatch
20260808_141232,ihawk1,30.0,3,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk1\h_p030p000mm\frame_0003_color.png,5,1,3.5289998773237525,4.04719388804181,1,saved_image_content_mismatch
20260808_141232,ihawk1,35.0,1,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk1\h_p035p000mm\frame_0001_color.png,5,1,3.8120009696863176e-07,0.0016638943677251073,0,
20260808_141232,ihawk1,35.0,2,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk1\h_p035p000mm\frame_0002_color.png,5,1,5.080275150644833e-07,0.002668325917915403,0,
20260808_141232,ihawk1,35.0,3,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk1\h_p035p000mm\frame_0003_color.png,5,1,5.820386327807032e-07,0.0018751498690966976,0,
20260808_141232,ihawk1,40.0,1,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk1\h_p040p000mm\frame_0001_color.png,5,1,4.1148050004507896e-06,0.0018182491144240452,0,
20260808_141232,ihawk1,40.0,2,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk1\h_p040p000mm\frame_0002_color.png,5,1,3.8950498608058045e-06,0.0009179611192095418,0,
20260808_141232,ihawk1,40.0,3,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk1\h_p040p000mm\frame_0003_color.png,5,1,4.382136678193934e-07,0.001301604898227063,0,
20260808_141232,ihawk1,45.0,1,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk1\h_p045p000mm\frame_0001_color.png,5,1,4.3458986089572977e-07,5.389968722017374e-07,0,
20260808_141232,ihawk1,45.0,2,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk1\h_p045p000mm\frame_0002_color.png,5,1,5.296510406952173e-07,7.3553862913925695e-06,0,
20260808_141232,ihawk1,45.0,3,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk1\h_p045p000mm\frame_0003_color.png,5,1,4.204176146853521e-06,8.462441119852475e-06,0,
20260808_141232,ihawk1,50.0,1,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk1\h_p050p000mm\frame_0001_color.png,5,1,4.984844487874864e-07,0.0002545818504726099,0,
20260808_141232,ihawk1,50.0,2,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk1\h_p050p000mm\frame_0002_color.png,5,1,5.796232289899969e-07,0.005211263641192942,0,
20260808_141232,ihawk1,50.0,3,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk1\h_p050p000mm\frame_0003_color.png,5,1,7.469136381638663e-06,0.0052292619253817,0,
20260808_141232,ihawk2,0.0,1,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk2\h_p000p000mm\frame_0001_color.png,5,1,8.038375405370205e-06,0.0003503383231763506,0,
20260808_141232,ihawk2,0.0,2,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk2\h_p000p000mm\frame_0002_color.png,5,1,6.603886768100633e-07,0.0002442328460509742,0,
20260808_141232,ihawk2,0.0,3,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk2\h_p000p000mm\frame_0003_color.png,5,1,7.776798688571119e-06,0.0001685598346596268,0,
20260808_141232,ihawk2,5.0,1,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk2\h_p005p000mm\frame_0001_color.png,5,1,4.493803994782608e-07,5.819708296165443e-07,0,
20260808_141232,ihawk2,5.0,2,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk2\h_p005p000mm\frame_0002_color.png,5,1,4.121797327735333e-07,6.091073410979088e-07,0,
20260808_141232,ihawk2,5.0,3,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk2\h_p005p000mm\frame_0003_color.png,5,1,4.028935705485045e-07,5.503815904893306e-07,0,
20260808_141232,ihawk2,10.0,1,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk2\h_p010p000mm\frame_0001_color.png,5,1,5.816093701283528e-07,0.0008346513521881103,0,
20260808_141232,ihawk2,10.0,2,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk2\h_p010p000mm\frame_0002_color.png,5,1,8.058885603791486e-06,0.0005939106231407966,0,
20260808_141232,ihawk2,10.0,3,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk2\h_p010p000mm\frame_0003_color.png,5,1,4.1725880410600455e-07,0.00012292157775005793,0,
20260808_141232,ihawk2,15.0,1,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk2\h_p015p000mm\frame_0001_color.png,5,1,3.3630208390659323e-07,7.85351984692508e-06,0,
20260808_141232,ihawk2,15.0,2,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk2\h_p015p000mm\frame_0002_color.png,5,1,4.4168080872800744e-07,3.7704540602498874e-06,0,
20260808_141232,ihawk2,15.0,3,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk2\h_p015p000mm\frame_0003_color.png,5,1,5.931413474686876e-07,7.421780978459374e-06,0,
20260808_141232,ihawk2,20.0,1,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk2\h_p020p000mm\frame_0001_color.png,5,1,4.4360585996305073e-07,7.397133806258438e-06,0,
20260808_141232,ihawk2,20.0,2,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk2\h_p020p000mm\frame_0002_color.png,5,1,4.216262573720475e-07,7.229960821316376e-06,0,
20260808_141232,ihawk2,20.0,3,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk2\h_p020p000mm\frame_0003_color.png,5,1,3.179280848601387e-07,7.430121956520876e-06,0,
20260808_141232,ihawk2,25.0,1,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk2\h_p025p000mm\frame_0001_color.png,5,1,4.994527498233996e-07,8.96532022299615e-05,0,
20260808_141232,ihawk2,25.0,2,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk2\h_p025p000mm\frame_0002_color.png,5,1,4.175393989060911e-06,7.740498662485326e-06,0,
20260808_141232,ihawk2,25.0,3,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk2\h_p025p000mm\frame_0003_color.png,5,1,7.2510486136444055e-06,3.368296863577113e-05,0,
20260808_141232,ihawk2,30.0,1,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk2\h_p030p000mm\frame_0001_color.png,5,1,3.6725955546848432,4.955557980206702,1,saved_image_content_mismatch
20260808_141232,ihawk2,30.0,2,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk2\h_p030p000mm\frame_0002_color.png,5,1,3.6816495992532783,4.947381845897048,1,saved_image_content_mismatch
20260808_141232,ihawk2,30.0,3,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk2\h_p030p000mm\frame_0003_color.png,5,1,3.6602479316479744,4.931984830475967,1,saved_image_content_mismatch
20260808_141232,ihawk2,35.0,1,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk2\h_p035p000mm\frame_0001_color.png,5,1,6.11039658606011e-07,1.0703664098988079e-05,0,
20260808_141232,ihawk2,35.0,2,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk2\h_p035p000mm\frame_0002_color.png,5,1,3.995643081496364e-06,0.0006995247849640252,0,
20260808_141232,ihawk2,35.0,3,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk2\h_p035p000mm\frame_0003_color.png,5,1,7.338405875886575e-06,0.0012944915887751164,0,
20260808_141232,ihawk2,40.0,1,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk2\h_p040p000mm\frame_0001_color.png,5,1,4.290325552693359e-06,0.0016259855684656356,0,
20260808_141232,ihawk2,40.0,2,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk2\h_p040p000mm\frame_0002_color.png,5,1,4.888325234740475e-07,0.0008466746541982248,0,
20260808_141232,ihawk2,40.0,3,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk2\h_p040p000mm\frame_0003_color.png,5,1,3.4906552585816647e-06,0.0008897452879006189,0,
20260808_141232,ihawk2,45.0,1,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk2\h_p045p000mm\frame_0001_color.png,5,1,4.2382874639900176e-07,8.036210963864647e-06,0,
20260808_141232,ihawk2,45.0,2,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk2\h_p045p000mm\frame_0002_color.png,5,1,4.804593059534577e-07,7.1853930600226984e-06,0,
20260808_141232,ihawk2,45.0,3,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk2\h_p045p000mm\frame_0003_color.png,5,1,4.592557028482342e-07,0.00040728760076163,0,
