resolution_id,width_px,height_px,run_id,camera_id,model,height_gt_mm,xy_rmse_low_mm,xy_rmse_native_mm,downsampling_penalty_mm
r480x300,480,300,20260808_145501,ihawk1,Affine,35.0,50.520415870962495,49.62088774864963,0.8995281223128657
r480x300,480,300,20260808_145501,ihawk1,Affine,50.0,70.2343818091817,69.87166431228727,0.3627174968944331
r480x300,480,300,20260808_145501,ihawk1,Homography,0.0,0.4674495823125904,0.06884485022262021,0.39860473208997016
r480x300,480,300,20260808_145501,ihawk1,Homography,5.0,7.856717340806445,7.919292755444127,-0.06257541463768224
r480x300,480,300,20260808_145501,ihawk1,Homography,10.0,12.846444296923273,13.38722695986342,-0.5407826629401473
r480x300,480,300,20260808_145501,ihawk1,Homography,15.0,23.047803623952387,22.566927718311568,0.4808759056408185
r480x300,480,300,20260808_145501,ihawk1,Homography,20.0,30.975534212782087,30.873184020780386,0.10235019200170115
r480x300,480,300,20260808_145501,ihawk1,Homography,25.0,40.33378260811597,39.89708941362856,0.43669319448741106
r480x300,480,300,20260808_145501,ihawk1,Homography,30.0,48.96659596305362,47.8145040333898,1.1520919296638183
r480x300,480,300,20260808_145501,ihawk1,Homography,35.0,56.74934226362807,54.92184014942024,1.8275021142078316
r480x300,480,300,20260808_145501,ihawk1,Homography,50.0,82.94340688042178,81.78205341982975,1.161353460592025
r480x300,480,300,20260808_145501,ihawk1,PnP,0.0,12.27889041297007,8.592750129649819,3.686140283320251
r480x300,480,300,20260808_145501,ihawk1,PnP,5.0,13.120293138090661,7.869083491299328,5.251209646791333
r480x300,480,300,20260808_145501,ihawk1,PnP,10.0,11.022621603966659,4.473162002653921,6.549459601312738
r480x300,480,300,20260808_145501,ihawk1,PnP,15.0,12.850771662320245,9.206031131592082,3.6447405307281624
r480x300,480,300,20260808_145501,ihawk1,PnP,20.0,12.951020338094922,9.862875286656436,3.0881450514384863
r480x300,480,300,20260808_145501,ihawk1,PnP,25.0,10.110307338183187,10.804144903009105,-0.6938375648259179
r480x300,480,300,20260808_145501,ihawk1,PnP,30.0,12.974755010630524,12.388172105873405,0.5865829047571189
r480x300,480,300,20260808_145501,ihawk1,PnP,35.0,19.554765565129735,7.986914192193558,11.567851372936177
r480x300,480,300,20260808_145501,ihawk1,PnP,50.0,12.269037047695344,10.662445462710602,1.6065915849847414
r480x300,480,300,20260808_145501,ihawk2,Affine,0.0,12.648034368128554,12.630059640994292,0.017974727134262736
r480x300,480,300,20260808_145501,ihawk2,Affine,5.0,13.900696599233642,13.897139856727618,0.003556742506024335
r480x300,480,300,20260808_145501,ihawk2,Affine,10.0,15.494389490271574,15.519421629229772,-0.025032138958197336
r480x300,480,300,20260808_145501,ihawk2,Affine,15.0,19.667654745126786,19.71220792579549,-0.04455318066870362
r480x300,480,300,20260808_145501,ihawk2,Affine,20.0,24.999879442308742,25.152491311790694,-0.1526118694819516
r480x300,480,300,20260808_145501,ihawk2,Affine,25.0,31.792611300470064,31.39782328815271,0.3947880123173526
r480x300,480,300,20260808_145501,ihawk2,Affine,30.0,34.81924027780326,34.64013921792242,0.17910105988084268
r480x300,480,300,20260808_145501,ihawk2,Affine,35.0,40.492682144736726,40.22796765636512,0.2647144883716095
r480x300,480,300,20260808_145501,ihawk2,Affine,40.0,46.47768442537361,46.00776429069211,0.4699201346815016
r480x300,480,300,20260808_145501,ihawk2,Affine,45.0,50.92424610673008,50.60075542187305,0.3234906848570276
