resolution_id,width_px,height_px,run_id,camera_id,model,height_gt_mm,n_expected_markers,n_valid_markers,complete_five_marker_metric,xy_rmse_mm,xy_mean_mm,xy_median_mm,xy_p95_mm,xy_max_mm,pnp_z_rmse_mm
r640x400,640,400,20260808_141232,ihawk1,Homography,40.0,5,5,1,68.49782847251565,67.40478021194386,64.91342307401926,83.69015808724355,85.86611720526244,
r640x400,640,400,20260808_141232,ihawk1,Homography,45.0,5,5,1,80.17431851502944,78.92038821116998,76.09488779539755,97.52081965356798,99.69819447197585,
r640x400,640,400,20260808_141232,ihawk1,Homography,50.0,5,5,1,88.47602432586618,87.14598194884655,84.3518250052507,107.24411832213558,109.92027307399387,
r640x400,640,400,20260808_141232,ihawk1,PnP,0.0,5,5,1,5.407024224891659,5.259554508285208,5.502131563556323,6.6936887396821065,6.983203054826381,3.95980512857331
r640x400,640,400,20260808_141232,ihawk1,PnP,5.0,5,5,1,14.137692144712435,12.82045034626529,13.305001722559801,21.053877483907186,22.676252157240953,5.8742438575016225
r640x400,640,400,20260808_141232,ihawk1,PnP,10.0,5,5,1,11.736888764760824,11.15081290613504,9.659236135537615,16.65606503562328,18.0073504380707,5.57794893578588
r640x400,640,400,20260808_141232,ihawk1,PnP,15.0,5,5,1,12.336213196222781,11.07410902531935,10.824754321304335,18.455971774235522,20.008796835644418,5.867533114557522
r640x400,640,400,20260808_141232,ihawk1,PnP,20.0,5,5,1,11.657909406451703,10.19031387701217,8.902742016502419,18.527650112767592,20.19856855716867,5.390407392482557
r640x400,640,400,20260808_141232,ihawk1,PnP,25.0,5,5,1,11.483061611579119,9.944000278023315,8.178831544166709,18.378092544031457,20.44007257628273,6.068545012587222
r640x400,640,400,20260808_141232,ihawk1,PnP,30.0,5,0,0,,,,,,
r640x400,640,400,20260808_141232,ihawk1,PnP,35.0,5,5,1,16.650321689861286,15.270178388125737,14.026317045751886,25.03145761462658,27.259900243085532,8.532872063822037
r640x400,640,400,20260808_141232,ihawk1,PnP,40.0,5,5,1,10.180105043061534,9.825868162512274,10.486242137045807,12.913550591997335,13.172623344749637,5.608917840255513
r640x400,640,400,20260808_141232,ihawk1,PnP,45.0,5,5,1,14.963693649421282,14.27638373658769,12.731406579042828,21.095442503628025,22.87699255518225,6.550661508439948
r640x400,640,400,20260808_141232,ihawk1,PnP,50.0,5,5,1,16.04913746824661,14.607906473880789,12.567011274559198,24.567553403504537,27.302227602987976,7.713260479561191
r640x400,640,400,20260808_141232,ihawk2,Affine,0.0,5,5,1,12.689161676066142,12.30595940932759,12.085248350583147,15.376531401705929,15.413822673066772,
r640x400,640,400,20260808_141232,ihawk2,Affine,5.0,5,5,1,14.972591964346922,14.547862563411632,13.389587466438053,19.644675038525126,20.45569696580601,
r640x400,640,400,20260808_141232,ihawk2,Affine,10.0,5,5,1,15.946306650548104,15.469679868995296,15.166859522186932,20.251464860541887,20.551769762826805,
r640x400,640,400,20260808_141232,ihawk2,Affine,15.0,5,5,1,20.744017276302316,20.429231724495118,21.878330615986997,24.792475897663635,25.423519862179504,
r640x400,640,400,20260808_141232,ihawk2,Affine,20.0,5,5,1,26.812262779175544,26.689497829964246,26.77136339224809,29.382183460929994,29.54478863458981,
r640x400,640,400,20260808_141232,ihawk2,Affine,25.0,5,5,1,30.74730543106043,30.58204141736806,30.000311902804516,34.19140551442655,34.26983487711658,
r640x400,640,400,20260808_141232,ihawk2,Affine,30.0,5,0,0,,,,,,
r640x400,640,400,20260808_141232,ihawk2,Affine,35.0,5,5,1,41.193025637244304,41.01645839719612,41.467125191163255,45.25684856564719,45.42145365805083,
r640x400,640,400,20260808_141232,ihawk2,Affine,40.0,5,5,1,46.40585536933436,46.210070861876005,46.768563321617805,50.97654553821525,51.15798923491121,
r640x400,640,400,20260808_141232,ihawk2,Affine,45.0,5,5,1,51.87843189073492,51.651021240962486,51.245126294454195,57.74638978593937,58.261685375361566,
r640x400,640,400,20260808_141232,ihawk2,Affine,50.0,5,5,1,58.67156925484644,58.46055908159799,60.62461787104091,63.4722821880845,63.637396125377784,
r640x400,640,400,20260808_141232,ihawk2,Homography,0.0,5,5,1,0.16584547087480725,0.15250064995511328,0.14966265570065432,0.24857980101560564,0.27327458522140574,
r640x400,640,400,20260808_141232,ihawk2,Homography,5.0,5,5,1,8.325417732942144,8.156482782138422,7.5051885971237615,10.41586065754744,10.68535026447492,
r640x400,640,400,20260808_141232,ihawk2,Homography,10.0,5,5,1,10.396603781590764,10.124168253947701,10.43376332886509,13.169120034381114,13.790986168652644,
r640x400,640,400,20260808_141232,ihawk2,Homography,15.0,5,5,1,17.7994662912442,17.507539646452603,17.438391734949267,21.61294953732194,22.29596137500312,
r640x400,640,400,20260808_141232,ihawk2,Homography,20.0,5,5,1,25.867438137345037,25.58806262990089,24.207502163448854,30.44292570059061,30.68892900301718,
r640x400,640,400,20260808_141232,ihawk2,Homography,25.0,5,5,1,30.944885474969613,30.595800204242646,29.05053652499516,36.721978043930655,37.26617777866397,
r640x400,640,400,20260808_141232,ihawk2,Homography,30.0,5,0,0,,,,,,
