resolution_id,width_px,height_px,camera_id,height_gt_mm,n_marker_conditions,n_complete_marker_conditions,center_repeatability_rms_median_native_equiv_px,center_repeatability_rms_p95_native_equiv_px,corner_repeatability_rms_median_native_equiv_px,corner_repeatability_rms_p95_native_equiv_px,corner_repeatability_fraction_median,center_drift_from_native_median_px,center_drift_from_native_p95_px,corner_drift_from_native_median_px,corner_drift_from_native_p95_px
r240x150,240,150,ihawk1,20.0,25,11,0.010497740205222357,0.01927389670378256,0.021275303129737636,0.03920570584016039,0.0008200685697980539,1.1620143519733808,2.8885846354429603,2.302963577601001,4.260764877238362
r240x150,240,150,ihawk1,25.0,25,9,0.012627956610967835,0.04114730696151348,0.028752300102104025,0.08818359836927145,0.0008981025443364592,2.0529029913807273,3.4356953051862167,3.5171511494822023,4.685510669549435
r240x150,240,150,ihawk1,30.0,20,7,0.017695586057880384,0.6732648990260537,0.04033670322809533,1.3445920741436193,0.0011298298867515404,1.5426586470528836,3.73045269245517,3.1891172031138497,4.624128268079935
r240x150,240,150,ihawk1,35.0,25,10,0.012543597537293468,0.9435704954268769,0.021902765605653393,1.884394021579757,0.0006794832066876098,1.6120483169473447,3.8999893421917777,2.9662680114743227,4.7049371460421625
r240x150,240,150,ihawk1,40.0,25,11,0.007587072465703431,0.1653909103198565,0.021662008264121114,0.3335213554878287,0.0008176304004288952,1.4492438466991724,3.4409973198419603,2.875124262053675,3.8129929202911406
r240x150,240,150,ihawk1,45.0,25,13,0.010197715372364606,0.02048487650878532,0.019425574273323625,0.04525030476322523,0.0005558613636471581,1.4773143236959305,3.6585007246779035,2.7597901182991844,4.383713860995161
r240x150,240,150,ihawk1,50.0,25,13,0.01144160892883691,0.194684689597513,0.023174786086736617,0.39277540815484974,0.0007728156573344701,1.7422757675714393,3.7195399267283404,3.187088734260148,4.5899572420675545
r240x150,240,150,ihawk1,ALL,270,115,0.012208194441771377,0.14827327827788434,0.02329564976889731,0.29307390082630985,0.0008028414343516186,1.3590777644956453,3.576318456313911,2.610769614582424,4.483252810112266
r240x150,240,150,ihawk2,0.0,25,21,0.010032628846407187,0.017769691640281804,0.020706389916377667,0.032339553482983514,0.0006815146827177926,0.3053052515791923,0.6820281936614901,1.09663260148542,1.268088924869997
r240x150,240,150,ihawk2,5.0,25,18,0.009722593054682566,0.015081719816332143,0.020855200231710933,0.02932156199386787,0.0006502134200290683,0.6277105017695876,1.9913763248927923,1.6315858125348845,3.0234648367931634
r240x150,240,150,ihawk2,10.0,25,19,0.007315190563267858,0.017577810943415376,0.01922033000985413,0.03891669961688295,0.0005781331310240295,0.5383763860438471,2.280570599084802,1.3319763478779962,3.4310529575454023
r240x150,240,150,ihawk2,15.0,25,16,0.012030884967712374,0.0413074836461305,0.024998296053706466,0.06906467505952467,0.0006796139189181454,0.49412913995321456,2.3977891025212914,1.3338632896159983,3.63548311380818
r240x150,240,150,ihawk2,20.0,25,16,0.012060554475655832,0.031013035479464574,0.02613883476165394,0.0735439561420097,0.0007383006148892033,0.6659305402813425,2.3562370029571857,1.2654490984980789,3.739018548025963
