resolution_id,width_px,height_px,run_id,camera_id,height_gt_mm,frame_index,model,markers_per_frame,mapping_latency_median_ms,mapping_timing_outer_repeats,mapping_timing_inner_repeats,detection_latency_median_ms,pipeline_latency_ms
r640x400,640,400,20260808_131913,ihawk2,35.0,2,PnP,5,1.302722,5,50,4.8652,6.167922
r640x400,640,400,20260808_131913,ihawk2,35.0,3,Affine,5,0.01696,5,50,4.685,4.70196
r640x400,640,400,20260808_131913,ihawk2,35.0,3,Homography,5,0.018608,5,50,4.685,4.703608
r640x400,640,400,20260808_131913,ihawk2,35.0,3,PnP,5,1.388124,5,50,4.685,6.073124
r640x400,640,400,20260808_131913,ihawk2,40.0,1,Affine,5,0.017034,5,50,4.0699,4.086933999999999
r640x400,640,400,20260808_131913,ihawk2,40.0,1,Homography,5,0.01644,5,50,4.0699,4.08634
r640x400,640,400,20260808_131913,ihawk2,40.0,1,PnP,5,1.2905959999999999,5,50,4.0699,5.3604959999999995
r640x400,640,400,20260808_131913,ihawk2,40.0,2,Affine,5,0.01703,5,50,4.1771,4.19413
r640x400,640,400,20260808_131913,ihawk2,40.0,2,Homography,5,0.016375999999999998,5,50,4.1771,4.193476
r640x400,640,400,20260808_131913,ihawk2,40.0,2,PnP,5,1.190582,5,50,4.1771,5.367682
r640x400,640,400,20260808_131913,ihawk2,40.0,3,Affine,5,0.023344,5,50,4.2317,4.255044
r640x400,640,400,20260808_131913,ihawk2,40.0,3,Homography,5,0.016654,5,50,4.2317,4.248354
r640x400,640,400,20260808_131913,ihawk2,40.0,3,PnP,5,1.521266,5,50,4.2317,5.752966
r640x400,640,400,20260808_131913,ihawk2,45.0,1,Affine,5,0.017216,5,50,4.2635,4.280716
r640x400,640,400,20260808_131913,ihawk2,45.0,1,Homography,5,0.016324,5,50,4.2635,4.279824
r640x400,640,400,20260808_131913,ihawk2,45.0,1,PnP,5,1.475616,5,50,4.2635,5.739115999999999
r640x400,640,400,20260808_131913,ihawk2,45.0,2,Affine,5,0.017086,5,50,5.1123,5.129386
r640x400,640,400,20260808_131913,ihawk2,45.0,2,Homography,5,0.016668000000000002,5,50,5.1123,5.128968
r640x400,640,400,20260808_131913,ihawk2,45.0,2,PnP,5,1.270518,5,50,5.1123,6.382818
r640x400,640,400,20260808_131913,ihawk2,45.0,3,Affine,5,0.01796,5,50,4.4683,4.486260000000001
r640x400,640,400,20260808_131913,ihawk2,45.0,3,Homography,5,0.01721,5,50,4.4683,4.4855100000000006
r640x400,640,400,20260808_131913,ihawk2,45.0,3,PnP,5,1.283166,5,50,4.4683,5.751466000000001
r640x400,640,400,20260808_131913,ihawk2,50.0,1,Affine,5,0.017178,5,50,4.1052,4.122378
r640x400,640,400,20260808_131913,ihawk2,50.0,1,Homography,5,0.016302,5,50,4.1052,4.1215019999999996
r640x400,640,400,20260808_131913,ihawk2,50.0,1,PnP,5,1.1516,5,50,4.1052,5.2568
r640x400,640,400,20260808_131913,ihawk2,50.0,2,Affine,5,0.018269999999999998,5,50,4.2219,4.24017
r640x400,640,400,20260808_131913,ihawk2,50.0,2,Homography,5,0.016082,5,50,4.2219,4.237982
r640x400,640,400,20260808_131913,ihawk2,50.0,2,PnP,5,1.230216,5,50,4.2219,5.452116
r640x400,640,400,20260808_131913,ihawk2,50.0,3,Affine,5,0.017378,5,50,4.0675,4.084878
r640x400,640,400,20260808_131913,ihawk2,50.0,3,Homography,5,0.01733,5,50,4.0675,4.08483
r640x400,640,400,20260808_131913,ihawk2,50.0,3,PnP,5,1.80471,5,50,4.0675,5.87221
r640x400,640,400,20260808_141232,ihawk1,0.0,1,Affine,5,0.028281999999999998,5,50,5.0036,5.0318819999999995
r640x400,640,400,20260808_141232,ihawk1,0.0,1,Homography,5,0.027507999999999998,5,50,5.0036,5.031108
r640x400,640,400,20260808_141232,ihawk1,0.0,1,PnP,5,2.018224,5,50,5.0036,7.021824
r640x400,640,400,20260808_141232,ihawk1,0.0,2,Affine,5,0.025849999999999998,5,50,4.8905,4.91635
r640x400,640,400,20260808_141232,ihawk1,0.0,2,Homography,5,0.018420000000000002,5,50,4.8905,4.90892
r640x400,640,400,20260808_141232,ihawk1,0.0,2,PnP,5,1.611258,5,50,4.8905,6.501758000000001
r640x400,640,400,20260808_141232,ihawk1,0.0,3,Affine,5,0.025192000000000003,5,50,4.8248,4.849991999999999
r640x400,640,400,20260808_141232,ihawk1,0.0,3,Homography,5,0.025648,5,50,4.8248,4.850448
r640x400,640,400,20260808_141232,ihawk1,0.0,3,PnP,5,1.524476,5,50,4.8248,6.349276
r640x400,640,400,20260808_141232,ihawk1,5.0,1,Affine,5,0.022591999999999998,5,50,4.9621,4.984692000000001
r640x400,640,400,20260808_141232,ihawk1,5.0,1,Homography,5,0.022912,5,50,4.9621,4.985012
r640x400,640,400,20260808_141232,ihawk1,5.0,1,PnP,5,1.780342,5,50,4.9621,6.7424420000000005
r640x400,640,400,20260808_141232,ihawk1,5.0,2,Affine,5,0.02859,5,50,5.9913,6.01989
r640x400,640,400,20260808_141232,ihawk1,5.0,2,Homography,5,0.03078,5,50,5.9913,6.02208
r640x400,640,400,20260808_141232,ihawk1,5.0,2,PnP,5,1.6899959999999998,5,50,5.9913,7.681296
r640x400,640,400,20260808_141232,ihawk1,5.0,3,Affine,5,0.022002,5,50,5.1626,5.184602
r640x400,640,400,20260808_141232,ihawk1,5.0,3,Homography,5,0.018266,5,50,5.1626,5.180866
r640x400,640,400,20260808_141232,ihawk1,5.0,3,PnP,5,1.9246240000000001,5,50,5.1626,7.087224000000001
r640x400,640,400,20260808_141232,ihawk1,10.0,1,Affine,5,0.026328,5,50,4.7886,4.814928
r640x400,640,400,20260808_141232,ihawk1,10.0,1,Homography,5,0.015986,5,50,4.7886,4.804586
r640x400,640,400,20260808_141232,ihawk1,10.0,1,PnP,5,1.480052,5,50,4.7886,6.2686519999999994
r640x400,640,400,20260808_141232,ihawk1,10.0,2,Affine,5,0.018448,5,50,5.2996,5.318048
r640x400,640,400,20260808_141232,ihawk1,10.0,2,Homography,5,0.0182,5,50,5.2996,5.3178
r640x400,640,400,20260808_141232,ihawk1,10.0,2,PnP,5,1.453158,5,50,5.2996,6.752758
r640x400,640,400,20260808_141232,ihawk1,10.0,3,Affine,5,0.019374,5,50,4.9364,4.955774
r640x400,640,400,20260808_141232,ihawk1,10.0,3,Homography,5,0.016174,5,50,4.9364,4.952574
r640x400,640,400,20260808_141232,ihawk1,10.0,3,PnP,5,1.3662960000000002,5,50,4.9364,6.302696
r640x400,640,400,20260808_141232,ihawk1,15.0,1,Affine,5,0.020948,5,50,6.0972,6.118148
r640x400,640,400,20260808_141232,ihawk1,15.0,1,Homography,5,0.021376,5,50,6.0972,6.118576
r640x400,640,400,20260808_141232,ihawk1,15.0,1,PnP,5,1.556712,5,50,6.0972,7.653912
r640x400,640,400,20260808_141232,ihawk1,15.0,2,Affine,5,0.017070000000000002,5,50,5.1634,5.180470000000001
r640x400,640,400,20260808_141232,ihawk1,15.0,2,Homography,5,0.021768,5,50,5.1634,5.185168
r640x400,640,400,20260808_141232,ihawk1,15.0,2,PnP,5,1.7840539999999998,5,50,5.1634,6.9474540000000005
r640x400,640,400,20260808_141232,ihawk1,15.0,3,Affine,5,0.017064,5,50,6.0745,6.091564
r640x400,640,400,20260808_141232,ihawk1,15.0,3,Homography,5,0.016072,5,50,6.0745,6.090572
r640x400,640,400,20260808_141232,ihawk1,15.0,3,PnP,5,1.5066499999999998,5,50,6.0745,7.581149999999999
r640x400,640,400,20260808_141232,ihawk1,20.0,1,Affine,5,0.026158,5,50,5.0136,5.039758
r640x400,640,400,20260808_141232,ihawk1,20.0,1,Homography,5,0.026528,5,50,5.0136,5.040128
r640x400,640,400,20260808_141232,ihawk1,20.0,1,PnP,5,1.8117539999999999,5,50,5.0136,6.825354
r640x400,640,400,20260808_141232,ihawk1,20.0,2,Affine,5,0.026848,5,50,5.116,5.142848
r640x400,640,400,20260808_141232,ihawk1,20.0,2,Homography,5,0.018116,5,50,5.116,5.134116
r640x400,640,400,20260808_141232,ihawk1,20.0,2,PnP,5,1.65878,5,50,5.116,6.77478
r640x400,640,400,20260808_141232,ihawk1,20.0,3,Affine,5,0.018574,5,50,7.0197,7.038274
r640x400,640,400,20260808_141232,ihawk1,20.0,3,Homography,5,0.016282,5,50,7.0197,7.035982000000001
r640x400,640,400,20260808_141232,ihawk1,20.0,3,PnP,5,1.503768,5,50,7.0197,8.523468000000001
r640x400,640,400,20260808_141232,ihawk1,25.0,1,Affine,5,0.021818,5,50,5.1108,5.132618
r640x400,640,400,20260808_141232,ihawk1,25.0,1,Homography,5,0.016040000000000002,5,50,5.1108,5.1268400000000005
r640x400,640,400,20260808_141232,ihawk1,25.0,1,PnP,5,1.454872,5,50,5.1108,6.565672
r640x400,640,400,20260808_141232,ihawk1,25.0,2,Affine,5,0.020426000000000003,5,50,5.382,5.402425999999999
r640x400,640,400,20260808_141232,ihawk1,25.0,2,Homography,5,0.021086,5,50,5.382,5.403086
