resolution_id,width_px,height_px,scale_x,scale_y,run_id,camera_id,height_gt_mm,frame_index,marker_id,board_position,marker_gt_x_mm,marker_gt_y_mm,qc_excluded,detected,center_u_px,center_v_px,center_u_native_equiv_px,center_v_native_equiv_px,center_drift_from_native_px,corner_rmse_drift_from_native_px,corner0_u_px,corner0_v_px,corner1_u_px,corner1_v_px,corner2_u_px,corner2_v_px,corner3_u_px,corner3_v_px
r480x300,480,300,0.75,0.75,20260808_131913,ihawk1,0.0,3,4,C,0.0,0.0,0,1,221.4564437866211,183.43790435791016,295.4419250488281,244.7505391438802,0.0665024875047648,0.2720945586200237,205.21337890625,181.3889617919922,224.2570037841797,174.58546447753906,237.98745727539062,184.69212341308594,218.36793518066406,193.08506774902344
r320x200,320,200,0.5,0.5,20260808_131913,ihawk1,0.0,3,0,TL,-70.0,113.5,0,1,110.42176818847656,113.38614273071289,221.34353637695312,227.27228546142578,0.5778567662195474,1.4649072169025474,100.95683288574219,112.42984008789062,112.91445922851562,108.11447143554688,120.90145874023438,113.89277648925781,106.91432189941406,119.10748291015625
r320x200,320,200,0.5,0.5,20260808_131913,ihawk1,0.0,3,1,TR,70.0,113.5,0,0,,,,,,,,,,,,,,
r320x200,320,200,0.5,0.5,20260808_131913,ihawk1,0.0,3,2,BL,-70.0,-113.5,0,1,149.81056213378906,152.2709503173828,300.1211242675781,305.0419006347656,0.26154202260950205,0.5353118085661887,136.4022216796875,150.56301879882812,151.955078125,143.3073272705078,163.49266052246094,153.16737365722656,147.3922882080078,162.04608154296875
r320x200,320,200,0.5,0.5,20260808_131913,ihawk1,0.0,3,3,BR,70.0,-113.5,0,1,189.31912231445312,132.18585395812988,379.13824462890625,264.87170791625977,0.28578776544355083,0.8667882987705231,177.4619598388672,130.77708435058594,188.61236572265625,125.25516510009766,201.619873046875,133.07933044433594,189.58229064941406,139.6318359375
r320x200,320,200,0.5,0.5,20260808_131913,ihawk1,0.0,3,4,C,0.0,0.0,0,1,147.52964401245117,121.98126792907715,295.55928802490234,244.4625358581543,0.2846527103699107,0.611508263971878,136.59303283691406,120.73588562011719,149.30380249023438,116.14118957519531,158.5015106201172,122.89852142333984,145.72023010253906,128.14947509765625
r240x150,240,150,0.375,0.375,20260808_131913,ihawk1,0.0,3,0,TL,-70.0,113.5,0,0,,,,,,,,,,,,,,
r240x150,240,150,0.375,0.375,20260808_131913,ihawk1,0.0,3,1,TR,70.0,113.5,0,0,,,,,,,,,,,,,,
r240x150,240,150,0.375,0.375,20260808_131913,ihawk1,0.0,3,2,BL,-70.0,-113.5,0,1,112.12962532043457,113.97025871276855,299.8456675211589,304.75402323404944,0.2203329552071296,1.1179706091950203,102.2056655883789,112.7805404663086,113.58589172363281,107.50814056396484,122.27285766601562,114.60173034667969,110.45408630371094,120.9906234741211
r240x150,240,150,0.375,0.375,20260808_131913,ihawk1,0.0,3,3,BR,70.0,-113.5,0,1,142.0986557006836,98.71769905090332,379.76308186848956,264.0805308024089,0.7243257385068017,1.72174162862988,133.2882843017578,98.12908935546875,141.61085510253906,93.38448333740234,150.6824188232422,99.43724060058594,142.8130645751953,103.91998291015625
r240x150,240,150,0.375,0.375,20260808_131913,ihawk1,0.0,3,4,C,0.0,0.0,0,1,110.4262809753418,91.4576187133789,295.30341593424475,244.72031656901044,0.20572787370790196,1.1157246040724365,102.43851470947266,90.43218231201172,111.2906265258789,87.03364562988281,118.70339965820312,91.96346282958984,109.2725830078125,96.40118408203125
r160x100,160,100,0.25,0.25,20260808_131913,ihawk1,0.0,3,0,TL,-70.0,113.5,0,0,,,,,,,,,,,,,,
r160x100,160,100,0.25,0.25,20260808_131913,ihawk1,0.0,3,1,TR,70.0,113.5,0,0,,,,,,,,,,,,,,
r160x100,160,100,0.25,0.25,20260808_131913,ihawk1,0.0,3,2,BL,-70.0,-113.5,0,0,,,,,,,,,,,,,,
r160x100,160,100,0.25,0.25,20260808_131913,ihawk1,0.0,3,3,BR,70.0,-113.5,0,0,,,,,,,,,,,,,,
r160x100,160,100,0.25,0.25,20260808_131913,ihawk1,0.0,3,4,C,0.0,0.0,0,0,,,,,,,,,,,,,,
r640x400,640,400,1.0,1.0,20260808_131913,ihawk1,5.0,1,0,TL,-70.0,113.5,0,1,222.2809295654297,225.34484100341797,222.2809295654297,225.34484100341797,0.0,0.0,202.16851806640625,223.31385803222656,229.2955780029297,214.50003051757812,242.7887420654297,226.75967407226562,214.87088012695312,236.80580139160156
r640x400,640,400,1.0,1.0,20260808_131913,ihawk1,5.0,1,1,TR,70.0,113.5,0,1,293.19007110595703,201.72990036010742,293.19007110595703,201.72990036010742,0.0,0.0,274.7069396972656,200.22186279296875,297.2575378417969,192.6968536376953,311.63446044921875,202.83966064453125,289.1613464355469,211.16122436523438
r640x400,640,400,1.0,1.0,20260808_131913,ihawk1,5.0,1,2,BL,-70.0,-113.5,0,1,300.02396392822266,303.3233337402344,300.02396392822266,303.3233337402344,0.0,0.0,272.8736267089844,299.83514404296875,304.8719177246094,284.7269287109375,327.5994873046875,305.4431457519531,294.7508239746094,323.2881164550781
r640x400,640,400,1.0,1.0,20260808_131913,ihawk1,5.0,1,3,BR,70.0,-113.5,0,1,380.06888580322266,263.13355255126953,380.06888580322266,263.13355255126953,0.0,0.0,355.77001953125,260.6911315917969,379.8827819824219,248.66973876953125,404.4480285644531,264.6361389160156,380.1747131347656,278.5372009277344
r640x400,640,400,1.0,1.0,20260808_131913,ihawk1,5.0,1,4,C,0.0,0.0,0,1,296.05714416503906,243.36198043823242,296.05714416503906,243.36198043823242,0.0,0.0,274.1087341308594,240.8060302734375,300.3077087402344,231.27487182617188,318.3928527832031,244.95286560058594,291.4192810058594,256.4141540527344
r480x300,480,300,0.75,0.75,20260808_131913,ihawk1,5.0,1,0,TL,-70.0,113.5,0,1,166.04610443115234,169.04247665405273,221.5614725748698,225.556635538737,0.7499835241233492,1.24524532396373,151.47288513183594,167.39418029785156,170.14544677734375,161.3800506591797,181.97647094726562,169.89173889160156,160.58961486816406,177.50393676757812
r480x300,480,300,0.75,0.75,20260808_131913,ihawk1,5.0,1,1,TR,70.0,113.5,0,1,220.4859504699707,151.46790313720703,294.14793395996094,202.1238708496094,1.0357190708290254,1.7517407691710358,205.95639038085938,150.11593627929688,224.47064208984375,146.0373077392578,233.637451171875,151.89598083496094,217.8793182373047,157.8223876953125
