resolution_id,width_px,height_px,run_id,camera_id,height_gt_mm,marker_id,n_expected_frames,n_detected_frames,complete_three_frame_detection,center_repeatability_rms_native_equiv_px,corner_repeatability_rms_native_equiv_px,median_marker_side_native_equiv_px,corner_repeatability_fraction_of_marker_side,center_drift_from_native_median_px,corner_drift_from_native_median_px
r160x100,160,100,20260808_141232,ihawk2,0.0,2,3,3,1,0.016712114369302634,0.03649179521005584,37.25787224770244,0.0009794385188570762,0.3809891162632961,1.0087590952860044
r160x100,160,100,20260808_141232,ihawk2,0.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,0.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,5.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,5.0,1,3,3,1,0.03655746499762991,0.08773226165191166,28.230164772803164,0.0031077488338443066,2.3267895360924102,4.7448132206948355
r160x100,160,100,20260808_141232,ihawk2,5.0,2,3,3,1,0.023538921929034062,0.041058334563046375,38.05060957198478,0.0010790453825810999,1.6874440547670282,3.0245744310020357
r160x100,160,100,20260808_141232,ihawk2,5.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,5.0,4,3,3,1,0.008108114285738995,0.013100185592751624,29.521000633746066,0.00044375818270118295,1.2895396527597731,1.9970709236442545
r160x100,160,100,20260808_141232,ihawk2,10.0,0,3,3,1,0.02686099870899559,0.03575917916644605,42.5159030787423,0.0008410777280260909,2.41718520178906,4.318064662818439
r160x100,160,100,20260808_141232,ihawk2,10.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,10.0,2,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,10.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,10.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,15.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,15.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,15.0,2,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,15.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,15.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,20.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,20.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,20.0,2,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,20.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,20.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,25.0,0,3,3,1,0.010754469120615161,0.03122951640078683,41.45672756568061,0.0007533039444878848,2.2751273783933463,4.629222548927435
r160x100,160,100,20260808_141232,ihawk2,25.0,1,3,3,1,0.06955839794395384,0.14014649883173874,28.457997474667675,0.004924678869498541,2.7976957316570976,4.8569243291168425
r160x100,160,100,20260808_141232,ihawk2,25.0,2,3,3,1,0.012325858223563201,0.02879473699595033,39.05140502896279,0.0007373546988794508,1.9891858270016063,3.2893378850429364
r160x100,160,100,20260808_141232,ihawk2,25.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,25.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,35.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,35.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,35.0,2,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,35.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,35.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,40.0,0,3,3,1,0.006544342902976796,0.010211195878908645,40.165401979434854,0.00025422864892866987,0.7749901208336826,4.146561388764077
r160x100,160,100,20260808_141232,ihawk2,40.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,40.0,2,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,40.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,40.0,4,3,3,1,0.007618897740552181,0.016936741115625823,29.63903345608272,0.0005714336515298866,1.0349484113556842,2.1075538808465257
r160x100,160,100,20260808_141232,ihawk2,45.0,0,3,2,0,0.006587762392726024,0.02126938160076513,42.630624694671056,0.0004989225880010119,2.6322357774345306,4.30000431790846
r160x100,160,100,20260808_141232,ihawk2,45.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,45.0,2,3,3,1,0.01824754862467085,0.036355629658568665,39.72365688574122,0.0009152135656377219,2.484869990236221,3.8303758294817567
r160x100,160,100,20260808_141232,ihawk2,45.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,45.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,50.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,50.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,50.0,2,3,3,1,0.012183969223469197,0.02751956062053614,37.824739987991045,0.000727554521968249,0.6355911331242512,1.6289788216838386
r160x100,160,100,20260808_141232,ihawk2,50.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,50.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_145501,ihawk1,0.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_145501,ihawk1,0.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_145501,ihawk1,0.0,2,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_145501,ihawk1,0.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_145501,ihawk1,0.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_145501,ihawk1,5.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_145501,ihawk1,5.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_145501,ihawk1,5.0,2,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_145501,ihawk1,5.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_145501,ihawk1,5.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_145501,ihawk1,10.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_145501,ihawk1,10.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_145501,ihawk1,10.0,2,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_145501,ihawk1,10.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_145501,ihawk1,10.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_145501,ihawk1,15.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_145501,ihawk1,15.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_145501,ihawk1,15.0,2,3,3,1,0.018734611368137595,0.02442363233562801,37.24098357767985,0.000655826726076756,3.62429460548841,5.471869096995846
r160x100,160,100,20260808_145501,ihawk1,15.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_145501,ihawk1,15.0,4,3,0,0,nan,nan,nan,nan,nan,nan
