resolution_id,width_px,height_px,camera_id,model,summary_type,height_gt_mm,n_paired_rebuilds,downsampling_penalty_mean_mm,downsampling_penalty_median_mm,downsampling_penalty_p95_mm,penalty_vs_height_slope_mean_mm_per_mm,penalty_vs_height_slope_sd_mm_per_mm,amplification_0_to_50_mean_mm,amplification_0_to_50_sd_mm
r320x200,320,200,ihawk2,PnP,height_amplification,ALL,2,,,,0.008360811750731736,0.1265960960241842,-0.756318721640373,2.5650757200143803
r240x150,240,150,ihawk1,Affine,height_specific,0.0,0,nan,nan,nan,,,,
r240x150,240,150,ihawk1,Affine,height_specific,5.0,0,nan,nan,nan,,,,
r240x150,240,150,ihawk1,Affine,height_specific,10.0,0,nan,nan,nan,,,,
r240x150,240,150,ihawk1,Affine,height_specific,15.0,0,nan,nan,nan,,,,
r240x150,240,150,ihawk1,Affine,height_specific,20.0,0,nan,nan,nan,,,,
r240x150,240,150,ihawk1,Affine,height_specific,25.0,0,nan,nan,nan,,,,
r240x150,240,150,ihawk1,Affine,height_specific,30.0,0,nan,nan,nan,,,,
r240x150,240,150,ihawk1,Affine,height_specific,35.0,0,nan,nan,nan,,,,
r240x150,240,150,ihawk1,Affine,height_specific,40.0,0,nan,nan,nan,,,,
r240x150,240,150,ihawk1,Affine,height_specific,45.0,0,nan,nan,nan,,,,
r240x150,240,150,ihawk1,Affine,height_specific,50.0,0,nan,nan,nan,,,,
r240x150,240,150,ihawk1,Affine,height_amplification,ALL,0,,,,nan,nan,nan,nan
r240x150,240,150,ihawk1,Homography,height_specific,0.0,0,nan,nan,nan,,,,
r240x150,240,150,ihawk1,Homography,height_specific,5.0,0,nan,nan,nan,,,,
r240x150,240,150,ihawk1,Homography,height_specific,10.0,0,nan,nan,nan,,,,
r240x150,240,150,ihawk1,Homography,height_specific,15.0,0,nan,nan,nan,,,,
r240x150,240,150,ihawk1,Homography,height_specific,20.0,0,nan,nan,nan,,,,
r240x150,240,150,ihawk1,Homography,height_specific,25.0,0,nan,nan,nan,,,,
r240x150,240,150,ihawk1,Homography,height_specific,30.0,0,nan,nan,nan,,,,
r240x150,240,150,ihawk1,Homography,height_specific,35.0,0,nan,nan,nan,,,,
r240x150,240,150,ihawk1,Homography,height_specific,40.0,0,nan,nan,nan,,,,
