resolution_id,width_px,height_px,run_id,camera_id,height_gt_mm,frame_index,qc_excluded,n_expected_markers_detected,complete_five_marker_detection,resize_latency_median_ms_excluded_from_pipeline,resize_latency_p95_ms_excluded_from_pipeline,detection_latency_median_ms,detection_latency_p95_ms,detection_timing_repeats
r320x200,320,200,20260808_131913,ihawk1,40.0,2,0,4,0,0.0343,0.04989999999999999,2.0079,2.04074,5
r240x150,240,150,20260808_131913,ihawk1,40.0,2,0,3,0,0.4319,0.46546,1.3451,1.4266,5
r160x100,160,100,20260808_131913,ihawk1,40.0,2,0,0,0,0.1795,0.22677999999999998,2.602,2.79654,5
r640x400,640,400,20260808_131913,ihawk1,40.0,3,0,5,1,0.0,0.0,5.4819,5.90844,5
r480x300,480,300,20260808_131913,ihawk1,40.0,3,0,4,0,0.6904,0.7327,3.2928,3.54906,5
r320x200,320,200,20260808_131913,ihawk1,40.0,3,0,4,0,0.035,0.03804,2.3434,3.1445,5
r240x150,240,150,20260808_131913,ihawk1,40.0,3,0,3,0,0.4188,0.44238,1.3374,1.5589,5
r160x100,160,100,20260808_131913,ihawk1,40.0,3,0,0,0,0.1701,0.18422,3.5978,4.06372,5
r640x400,640,400,20260808_131913,ihawk1,45.0,1,0,5,1,0.0,0.0,5.5376,6.06212,5
r480x300,480,300,20260808_131913,ihawk1,45.0,1,0,5,1,0.6219,0.7363999999999999,3.1635,3.56282,5
r320x200,320,200,20260808_131913,ihawk1,45.0,1,0,3,0,0.0352,0.0414,2.2176,2.3192,5
r240x150,240,150,20260808_131913,ihawk1,45.0,1,0,4,0,0.4353,0.44338,1.4491,2.2349,5
r160x100,160,100,20260808_131913,ihawk1,45.0,1,0,0,0,0.2121,0.24574,2.5434,2.7591,5
r640x400,640,400,20260808_131913,ihawk1,45.0,2,0,5,1,0.0,0.0,5.1226,5.95536,5
r480x300,480,300,20260808_131913,ihawk1,45.0,2,0,5,1,0.6143,0.62294,3.121,3.3901,5
r320x200,320,200,20260808_131913,ihawk1,45.0,2,0,3,0,0.035,0.04652,2.0601,2.25566,5
r240x150,240,150,20260808_131913,ihawk1,45.0,2,0,4,0,0.4239,0.50948,1.4892,1.6301400000000001,5
r160x100,160,100,20260808_131913,ihawk1,45.0,2,0,0,0,0.1651,0.1737,2.6402,3.11616,5
r640x400,640,400,20260808_131913,ihawk1,45.0,3,0,5,1,0.0,0.0,5.0287,5.36714,5
r480x300,480,300,20260808_131913,ihawk1,45.0,3,0,5,1,0.6056,0.61804,3.1169,3.4764799999999996,5
r320x200,320,200,20260808_131913,ihawk1,45.0,3,0,3,0,0.0347,0.03874,2.0423,3.0947199999999997,5
r240x150,240,150,20260808_131913,ihawk1,45.0,3,0,4,0,0.4202,0.53522,1.5219,1.70886,5
r160x100,160,100,20260808_131913,ihawk1,45.0,3,0,0,0,0.1587,0.16519999999999999,2.6698,2.80032,5
r640x400,640,400,20260808_131913,ihawk1,50.0,1,0,5,1,0.0,0.0,5.8473,6.25668,5
r480x300,480,300,20260808_131913,ihawk1,50.0,1,0,5,1,0.6103,0.9195,3.5668,4.0481,5
r320x200,320,200,20260808_131913,ihawk1,50.0,1,0,3,0,0.0349,0.03684,2.1364,2.2807399999999998,5
r240x150,240,150,20260808_131913,ihawk1,50.0,1,0,3,0,0.4299,0.46982,1.4425,1.538,5
r160x100,160,100,20260808_131913,ihawk1,50.0,1,0,0,0,0.1587,0.1664,2.478,2.93268,5
r640x400,640,400,20260808_131913,ihawk1,50.0,2,0,5,1,0.0,0.0,5.1947,6.07306,5
r480x300,480,300,20260808_131913,ihawk1,50.0,2,0,5,1,0.6342,0.65096,3.1801,3.9928999999999997,5
r320x200,320,200,20260808_131913,ihawk1,50.0,2,0,3,0,0.037,0.03822,2.1147,2.3871599999999997,5
r240x150,240,150,20260808_131913,ihawk1,50.0,2,0,3,0,0.4129,0.42310000000000003,1.4684,1.6748399999999999,5
r160x100,160,100,20260808_131913,ihawk1,50.0,2,0,0,0,0.1583,0.17656,2.5198,2.9547399999999997,5
r640x400,640,400,20260808_131913,ihawk1,50.0,3,0,5,1,0.0,0.0,5.1133,5.370959999999999,5
r480x300,480,300,20260808_131913,ihawk1,50.0,3,0,5,1,0.5986,0.64476,3.2422,3.48944,5
r320x200,320,200,20260808_131913,ihawk1,50.0,3,0,3,0,0.0347,0.03636,2.1007,2.4692,5
r240x150,240,150,20260808_131913,ihawk1,50.0,3,0,3,0,0.4293,1.01304,1.3326,2.00778,5
r160x100,160,100,20260808_131913,ihawk1,50.0,3,0,0,0,0.1568,0.18309999999999998,2.4903,2.82448,5
r640x400,640,400,20260808_131913,ihawk2,0.0,1,0,5,1,0.0,0.0,4.2565,4.7015,5
r480x300,480,300,20260808_131913,ihawk2,0.0,1,0,5,1,0.603,0.6114200000000001,2.8209,4.035019999999999,5
r320x200,320,200,20260808_131913,ihawk2,0.0,1,0,5,1,0.0344,0.036699999999999997,1.7104,2.6109,5
r240x150,240,150,20260808_131913,ihawk2,0.0,1,0,4,0,0.4195,0.42426,1.2222,1.4763799999999998,5
r160x100,160,100,20260808_131913,ihawk2,0.0,1,0,3,0,0.1583,0.16842,2.0221,2.5371799999999998,5
r640x400,640,400,20260808_131913,ihawk2,0.0,2,0,5,1,0.0,0.0,4.3557,5.73166,5
r480x300,480,300,20260808_131913,ihawk2,0.0,2,0,5,1,0.5941,0.5961000000000001,2.8211,3.4127799999999997,5
r320x200,320,200,20260808_131913,ihawk2,0.0,2,0,5,1,0.0385,0.04068,1.6771,2.07726,5
r240x150,240,150,20260808_131913,ihawk2,0.0,2,0,4,0,0.4235,0.70924,1.3077,1.4963,5
r160x100,160,100,20260808_131913,ihawk2,0.0,2,0,3,0,0.1584,0.17246,2.111,2.4464599999999996,5
r640x400,640,400,20260808_131913,ihawk2,0.0,3,0,5,1,0.0,0.0,4.3805,5.15924,5
r480x300,480,300,20260808_131913,ihawk2,0.0,3,0,5,1,0.5968,0.6143,2.8248,3.1973,5
r320x200,320,200,20260808_131913,ihawk2,0.0,3,0,5,1,0.0347,0.0467,1.7658,2.16458,5
