camera,run_id,height_mm,marker_id,board_position,frame_index,branch_label,matches_acquisition_solution,reprojection_rmse_px,mean_t_x_mm,mean_t_y_mm,mean_t_z_mm,mean_rotvec_x_rad,mean_rotvec_y_rad,mean_rotvec_z_rad
ihawk1,20260808_131913,15.0,4,C,2,A,1,0.049749093330761114,-39.91707907970004,54.45612269862886,629.0902467796674,2.000301791688617,-0.6441914685215361,0.397139405994544
ihawk1,20260808_131913,15.0,4,C,2,B,0,0.7023203706998506,-39.817005617542655,55.26429824472574,627.8048489219466,-2.1692872882942744,0.6163784951057361,0.21906223156998264
ihawk1,20260808_131913,15.0,4,C,3,A,1,0.07546290062609676,-39.80594032063669,54.28893044164151,627.1216945743319,1.9983826723689566,-0.6429644284934369,0.3977744713917463
ihawk1,20260808_131913,15.0,4,C,3,B,0,0.6969198938690855,-39.70804867112815,55.10072812578844,625.8628120502734,-2.1674846596531654,0.6151288739950177,0.22004357562002383
ihawk1,20260808_131913,20.0,0,TL,1,A,1,0.07883637802692,-162.40095263198947,23.206193824594493,666.6673871998679,1.9983822714207293,-0.6337908443442081,0.41704956996205583
ihawk1,20260808_131913,20.0,0,TL,1,B,0,0.8011980675349911,-161.96163233732364,23.94161281254285,665.1813735422172,-2.060625006973991,0.34924242640081044,-0.0877148350512067
ihawk1,20260808_131913,20.0,0,TL,2,A,1,0.09073446459549021,-162.2035722758341,23.17118367501888,665.9245109421971,1.9981363686048734,-0.633047593083524,0.41600387114269977
ihawk1,20260808_131913,20.0,0,TL,2,B,0,0.7821074488496086,-161.7845599861265,23.91003280661435,664.5236650598897,-2.060251140299024,0.34846265914615376,-0.08851219440497476
ihawk1,20260808_131913,20.0,0,TL,3,A,1,0.10213350312588104,-162.07012646889746,23.135985478076222,665.531329112305,1.9981524555477852,-0.6309672056056992,0.4137699733440609
ihawk1,20260808_131913,20.0,0,TL,3,B,0,0.7789278203759058,-161.6550460239755,23.875465975358292,664.1487552896829,-2.0599187791061224,0.3463165179590392,-0.09039559260180113
ihawk1,20260808_131913,20.0,1,TR,1,A,1,0.11004796030836929,-48.98205610703413,-15.65395671149499,748.6671574923921,2.0048395157072507,-0.6473205445576575,0.3917921751895594
ihawk1,20260808_131913,20.0,1,TR,1,B,0,0.5058961837406594,-48.894880210520874,-14.937778182226712,747.586336717927,-1.9720347782811423,0.5535403014926307,0.2703442091115271
ihawk1,20260808_131913,20.0,1,TR,2,A,1,0.10904103860128536,-49.002977101478386,-15.673361802626102,749.0393149555688,2.004933603683596,-0.6476311724893337,0.39222585555976053
ihawk1,20260808_131913,20.0,1,TR,2,B,0,0.5106249044083708,-48.91451069071744,-14.956879966188737,747.9356186721426,-1.9721053072962391,0.5538311168938209,0.27077822680007096
ihawk1,20260808_131913,20.0,1,TR,3,A,1,0.09651342607671706,-48.99077117585699,-15.66177062370295,748.7584376492106,2.0046959909299895,-0.6479091563548857,0.3935291766296296
ihawk1,20260808_131913,20.0,1,TR,3,B,0,0.5170175200962215,-48.90088866183169,-14.94463508859856,747.6245647094757,-1.9719721395897247,0.5540145429144128,0.2719579763524404
ihawk1,20260808_131913,20.0,2,BL,1,A,1,0.058421516249518676,-26.5919244141944,113.7454637862353,503.7978028158895,1.9861282135504812,-0.6447872541277601,0.40387035228171675
ihawk1,20260808_131913,20.0,2,BL,1,B,0,1.1194761414018741,-26.480931649515842,114.57099749436426,502.0134324237505,-2.4077846441237214,0.7132378876955401,0.16281559001231338
ihawk1,20260808_131913,20.0,2,BL,2,A,1,0.06020060883216849,-26.593929438268507,113.73114284944138,503.7660188654014,1.9859539349187076,-0.6451063612859809,0.4030388232391788
ihawk1,20260808_131913,20.0,2,BL,2,B,0,1.1197582771005645,-26.4817240229651,114.5566726938157,501.9813283241821,-2.407543640218759,0.7133493242386165,0.16187612120108552
ihawk1,20260808_131913,20.0,2,BL,3,A,1,0.07788364218097894,-26.565607767564963,113.70868161690431,503.69027232974224,1.9856899040126375,-0.6457356563618226,0.4026134431471553
ihawk1,20260808_131913,20.0,2,BL,3,B,0,1.1259315615637397,-26.451754641004563,114.53055596241339,501.88812396786824,-2.407158884912977,0.7140066725593351,0.16151574385207118
ihawk1,20260808_131913,20.0,3,BR,1,A,1,0.1217160637502679,87.16663626615993,75.05783402459595,574.9287116410949,1.9983380093042689,-0.6474059931782533,0.4244971066081658
ihawk1,20260808_131913,20.0,3,BR,1,B,0,0.6059514454027535,86.92395257758993,75.96490356981914,574.1743853389951,-2.1979057843886305,0.9269761319216556,0.6769678839713402
ihawk1,20260808_131913,20.0,3,BR,2,A,1,0.1314979690005591,87.24491356432112,75.11358806078682,575.3228735428069,1.99740518358146,-0.6488190675415051,0.4233197877695557
ihawk1,20260808_131913,20.0,3,BR,2,B,0,0.5988777798002233,87.00773785892015,76.02319546290133,574.5914399178639,-2.1972608096570827,0.9285175746058033,0.6755219629042221
ihawk1,20260808_131913,20.0,3,BR,3,B,1,0.23542167812222742,86.59036073865678,76.28379606678972,572.3267325516601,-2.2054592634039882,0.9091742366583546,0.7222320620902729
