camera,run_id,height_mm,marker_id,board_position,n_frames,selected_branch_sequence,branch_switch_flag,large_mode_jump_flag,max_pairwise_rho_mm,max_pairwise_omega_rad,covariance_rank,sigma_rho_x_mm,sigma_rho_y_mm,sigma_rho_z_mm,sigma_omega_x_rad,sigma_omega_y_rad,sigma_omega_z_rad,role
ihawk1,20260808_141232,25.0,1,TR,3,A/A/B,1,1,39.579947467779455,2.3677046402770228,2,0.3497808505155819,0.589971163043052,22.487822399989447,1.1855943539453784,0.6799890955038036,0.015207026334848621,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,25.0,2,BL,3,A/A/A,0,0,0.10183100116662444,0.0008600054283143094,2,0.02386720196469708,0.034201910426095716,0.0353306399026401,0.00032836289255811966,0.0003518094193639019,0.00027024255064014884,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,25.0,3,BR,3,A/B/B,1,1,7.442730985643527,1.9301459580619873,2,0.9406454381473972,1.0566137671229952,4.025114017184285,0.6952434545072048,0.8695101727668,0.037160759135945465,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,25.0,4,C,3,A/A/A,0,0,1.25554237423677,0.006316075128259641,2,0.2749637650750947,0.4769674475881862,0.36119962673784173,0.0027286488745285075,0.00015429978469476882,0.0023489300435372835,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,30.0,0,TL,3,A/A/A,0,0,6.624083180664924,0.006967515668212987,2,1.2186703274385535,3.0903024731372066,1.731289376196213,0.002234316192048702,0.0016337956540723242,0.0026266171337292464,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,30.0,1,TR,3,A/A/A,0,0,0.8413129911088516,0.0035703642320623497,2,0.24321952131131155,0.3327256652228411,0.22053177847483219,3.267533492588856e-05,0.000423600304350973,0.0018136905335549883,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,30.0,2,BL,3,A/A/A,0,0,0.10567282815115092,0.002561236119399853,2,0.023795154069955304,0.04132282972947011,0.027041430884164414,0.0007515832824457708,0.0010770596911705912,0.0006166476851879092,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,30.0,3,BR,3,A/A/A,0,0,0.19647426511574645,0.002089034511448697,2,0.06484069262858534,0.05038661134902558,0.062162680973248084,0.0004888280953511444,0.0005078079707919311,0.0007935184247608397,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,30.0,4,C,3,A/A/A,0,0,0.2800969912822811,0.0012867783726171656,2,0.07626655896476496,0.0926947095414685,0.07339336446115205,0.00018582150799555027,0.0005388313361319768,0.0004698202531011609,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,35.0,0,TL,3,A/A/A,0,0,0.4961024931973711,0.0026395747252491164,2,0.11386351886315087,0.18132620260142232,0.13284023364896283,0.0008495659130959155,0.0006381836092340477,0.001355363429860062,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,35.0,1,TR,3,A/A/A,0,0,0.06487428069147172,0.0011705110971627188,2,0.008920400670176416,0.02428583129740389,0.020055687256833602,0.00020931212754858383,0.00045736546984479653,0.00042346061492182983,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,35.0,2,BL,3,A/A/A,0,0,0.14191522917355637,0.0019979716025166692,2,0.04092628469603278,0.042276777277573015,0.04003199046002106,0.0004259009822469874,0.0006699094380452414,0.0006763903107352613,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,35.0,3,BR,3,A/A/A,0,0,0.2773835917055176,0.0013387009627232349,2,0.08929905121621165,0.07539046078326696,0.08091280017959845,0.0006384892131588082,0.0004461812865712932,0.00011044395288596185,failure_mode_comparator_not_primary_measurement
