camera,run_id,height_mm,frame_index,rho_x_mm,rho_y_mm,rho_z_mm,omega_x_rad,omega_y_rad,omega_z_rad,definition
ihawk2,20260808_131913,30.0,1,-0.0014942557117607598,0.0027365757943668767,-0.002633034964273519,-4.055934118736066e-05,0.00014650936523959976,-1.5322730437279428e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_131913,30.0,2,-0.012556701747389837,-0.0020797833410640563,0.014266748008563175,2.50133348268894e-05,5.586776427971985e-06,-4.379522649228935e-06,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_131913,30.0,3,0.01405095745916335,-0.0006567924533090462,-0.011633713044215606,1.554600663194531e-05,-0.00015209614281168503,1.9702253212621656e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_131913,35.0,1,0.027925131363885556,-0.006566201392663825,-0.02356559406842673,1.0503260620447497e-05,7.389375984591302e-05,-9.052945364545703e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_131913,35.0,2,0.00442846612277365,-0.004051325015192725,0.008202737995741687,-0.00010245422793065996,-6.446172842429406e-05,-7.172811831462271e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_131913,35.0,3,-0.032353597486656505,0.010617526407844519,0.015362856072855445,9.195096702664012e-05,-9.432031601288654e-06,0.00016225757176339004,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_131913,40.0,1,0.001556562343488332,0.0021326498096691073,-0.003893527363234716,1.7581351768407995e-05,-7.227315696109011e-05,3.350274126704558e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_131913,40.0,2,-0.00864966745453238,-0.005240981371954348,0.009210818130932526,3.563340154113122e-05,3.119274455494858e-05,-5.871345686628441e-06,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_131913,40.0,3,0.007093105111020469,0.003108331562274633,-0.005317290767824334,-5.32147565188253e-05,4.108040942594121e-05,-2.7631394980661137e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_131913,45.0,1,0.008172378293080297,-0.007898685992458023,-0.01201032860862564,0.00019622297309508869,-0.00010441193454488003,0.0001024566113810331,Log(inv(T_bar_camera_run_height) @ T_frame)
