camera,run_id,height_mm,frame_index,branch_label,selected_by_reprojection,native_solution_index,positive_depth,reprojection_rmse_px,mean_t_x_mm,mean_t_y_mm,mean_t_z_mm,mean_rotvec_x_rad,mean_rotvec_y_rad,mean_rotvec_z_rad
ihawk1,20260808_141232,40.0,3,A,1,0,1,0.7945401182064996,-39.407361668339526,29.778982962174354,608.6841679131867,1.993826950267197,-0.646341092548596,0.4035866033202955
ihawk1,20260808_141232,40.0,3,B,0,1,1,13.257515275065808,-29.161300980814623,41.48364860888337,578.0159766952014,-2.0935047899645736,0.5944812381208538,0.24458113618753194
ihawk1,20260808_141232,45.0,1,A,1,0,1,0.5524138418510478,-41.46321936357468,24.62559878632558,609.35147116392,1.9969328660895396,-0.6430194604396072,0.39997481355090697
ihawk1,20260808_141232,45.0,1,B,0,1,1,13.151196793666031,-31.153437491694643,36.56618207970241,579.2056789864059,-2.081032730882924,0.5822237405535398,0.23946747365869592
ihawk1,20260808_141232,45.0,2,A,1,0,1,0.5422019291757534,-41.45370826925983,24.65656105354364,609.6957364598011,1.9971346064705313,-0.6434206909767589,0.40002695146665934
ihawk1,20260808_141232,45.0,2,B,0,1,1,13.15642237004152,-31.144360504331328,36.586994706640404,579.4809211759134,-2.081214875070355,0.5826619480725517,0.23952001437035947
ihawk1,20260808_141232,45.0,3,A,1,0,1,0.5228243021559975,-41.45183151114154,24.637975748398226,609.5726018199298,1.996969102822844,-0.643437903999912,0.3997635181363691
ihawk1,20260808_141232,45.0,3,B,0,1,1,13.15744678175716,-31.138522259966805,36.56998584123022,579.3650689906087,-2.0810086119613067,0.5826433748376244,0.23926623215773277
ihawk1,20260808_141232,50.0,1,A,1,0,1,0.6244008794329464,-38.753252819006285,20.775388595191092,605.3270801377071,1.993830372658111,-0.6501062461043441,0.40276416146473504
ihawk1,20260808_141232,50.0,1,B,0,1,1,13.314850816837994,-28.395707333120328,32.80992160533182,575.0180193903997,-2.0660392113769666,0.5905786028329367,0.25360436951004417
ihawk1,20260808_141232,50.0,2,A,1,0,1,0.6276316641476783,-38.75393031362424,20.78500501668065,605.3464076994101,1.9937220684531414,-0.6500041624058066,0.4026429901129542
ihawk1,20260808_141232,50.0,2,B,0,1,1,13.319468644697874,-28.395525246815307,32.81598679282844,575.0093978196333,-2.0659527365349284,0.5904502042219055,0.25345231454401157
ihawk1,20260808_141232,50.0,3,A,1,0,1,0.6261090846080485,-38.73247728306468,20.790926327607536,605.3421104828783,1.9938054534544143,-0.6498340529044931,0.4027066005820389
ihawk1,20260808_141232,50.0,3,B,0,1,1,13.322682001726108,-28.37640680277927,32.82343267863344,574.9925898538078,-2.0660491408572823,0.5903401484208048,0.2535992057682623
ihawk1,20260808_145501,0.0,1,A,1,0,1,0.405000965995587,-37.67391851837492,66.24125952575784,626.5758244386312,1.9956638785711323,-0.6457131873401614,0.4016424714148221
ihawk1,20260808_145501,0.0,1,B,0,1,1,12.65082884077852,-28.097769691138833,76.42855930086438,595.5544693779538,-2.2001426540746456,0.6334313369603977,0.21864132357926988
ihawk1,20260808_145501,0.0,2,A,1,0,1,0.39057516698293515,-37.64455684643051,66.22717668159152,626.4725355718557,1.995408744492486,-0.6453785747062002,0.4009716306893353
ihawk1,20260808_145501,0.0,2,B,0,1,1,12.656540994909095,-28.063597002623634,76.4151318533714,595.4343117512049,-2.199876209411788,0.6330592033532887,0.2181140009892726
ihawk1,20260808_145501,0.0,3,A,1,0,1,0.3974708155027815,-37.67155386618085,66.22485839112205,626.4157412884014,1.995321243399122,-0.6455206164066289,0.40166678806979406
ihawk1,20260808_145501,0.0,3,B,0,1,1,12.650721443205136,-28.092897951085234,76.41462117627306,595.4098465595754,-2.199833536491514,0.6332280403515004,0.21871449953825017
ihawk1,20260808_145501,5.0,1,A,1,0,1,0.3494503733683723,-37.41402237767903,61.528628706531485,623.5294304240581,1.9950914178970554,-0.6413877359103266,0.39962115703433065
ihawk1,20260808_145501,5.0,1,B,0,1,1,12.734323821233954,-27.784447233330567,71.95306621387,592.5696962728479,-2.186887858269893,0.6248253232759023,0.221593306341286
ihawk1,20260808_145501,5.0,2,A,1,0,1,0.3534399036001703,-37.40964139938815,61.519852122154916,623.5396624641543,1.9952834309816534,-0.6416824750606828,0.39980713647445
ihawk1,20260808_145501,5.0,2,B,0,1,1,12.738758905779616,-27.779201198562134,71.94239932277931,592.5609660750056,-2.1870299578282406,0.6251255291861235,0.22171951539012483
ihawk1,20260808_145501,5.0,3,A,1,0,1,0.38214937768769924,-37.37047944010296,61.49277733793912,623.3800915097439,1.9947784565867734,-0.6408043699612797,0.39960301422242583
ihawk1,20260808_145501,5.0,3,B,0,1,1,12.729743319587884,-27.74373710861961,71.92431269473865,592.4586290852811,-2.1865684061047244,0.6243157442800147,0.22186214482404723
ihawk1,20260808_145501,10.0,1,A,1,0,1,0.613173288535812,-38.256326951137595,58.193933675748376,619.2129635364279,1.989206079389738,-0.6502999405228452,0.4038209066874477
ihawk1,20260808_145501,10.0,1,B,0,1,1,12.92336991626941,-28.387302602151607,68.70951202267798,588.2119979961742,-2.171945247939467,0.6292879806756404,0.2251244384996788
ihawk1,20260808_145501,10.0,2,A,1,0,1,0.6228481606374175,-38.26642198107334,58.170573578249474,619.2352899338407,1.9891957058537055,-0.6502780393416363,0.404235585904661
ihawk1,20260808_145501,10.0,2,B,0,1,1,12.93147035915827,-28.397322352441364,68.68315657290947,588.2002966878538,-2.171847598389424,0.6292449151534055,0.22554167422849142
ihawk1,20260808_145501,10.0,3,A,1,0,1,0.6243122131745386,-38.27300375368858,58.18466841000099,619.3302774920681,1.9893103902806273,-0.6501825992304882,0.40427613069166607
ihawk1,20260808_145501,10.0,3,B,0,1,1,12.923705473321265,-28.407577574592437,68.6981047151045,588.3144125115452,-2.1719921250595764,0.629166535250505,0.22557900128636935
ihawk1,20260808_145501,15.0,1,A,1,0,1,0.42363503123558827,-38.48494701240636,53.402399134801826,619.5741041827022,1.9954164983708262,-0.6491515935226083,0.4022937431919964
ihawk1,20260808_145501,15.0,1,B,0,1,1,12.863288129718601,-28.639453285888827,64.1643871035287,588.8046540486433,-2.1638821090255806,0.6230643043368996,0.22681698250838592
ihawk1,20260808_145501,15.0,2,A,1,0,1,0.4246904052793351,-38.48809804956769,53.40552357497386,619.5810513315093,1.995359570504239,-0.6492526906112996,0.4024797836961018
