camera,ros_frame_count,timestamp,charuco_id,paper_x_mm,paper_y_mm,paper_z_mm,u_raw_px,v_raw_px,u_undist_px,v_undist_px,detected_aruco_markers,detected_charuco_corners
ihawk1,42,1786446725.218808,5,34.0,58.0,0.0,301.0955505371094,293.26727294921875,301.0955505371094,293.26727294921875,5,3
ihawk1,43,1786446725.248293,5,34.0,58.0,0.0,301.1571044921875,293.2818603515625,301.1571044921875,293.2818603515625,6,4
ihawk1,43,1786446725.248293,31,84.0,-17.0,0.0,369.3564147949219,290.8563232421875,369.3564147949219,290.8563232421875,6,4
ihawk1,45,1786446725.314278,5,34.0,58.0,0.0,301.25592041015625,293.3049011230469,301.25592041015625,293.3049011230469,5,2
ihawk1,47,1786446725.388612,5,34.0,58.0,0.0,301.2442626953125,293.29461669921875,301.2442626953125,293.29461669921875,4,2
ihawk1,48,1786446725.413696,31,84.0,-17.0,0.0,369.3632507324219,290.8638000488281,369.3632507324219,290.8638000488281,5,4
ihawk1,49,1786446725.448632,5,34.0,58.0,0.0,301.17327880859375,293.2870178222656,301.17327880859375,293.2870178222656,5,3
ihawk1,50,1786446725.488613,5,34.0,58.0,0.0,301.1030578613281,293.2833557128906,301.1030578613281,293.2833557128906,6,4
ihawk1,51,1786446725.548603,5,34.0,58.0,0.0,301.05987548828125,293.2759094238281,301.05987548828125,293.2759094238281,4,2
ihawk1,52,1786446725.578365,5,34.0,58.0,0.0,301.09716796875,293.2816467285156,301.09716796875,293.2816467285156,6,5
ihawk1,52,1786446725.578365,31,84.0,-17.0,0.0,369.3714599609375,290.8589782714844,369.3714599609375,290.8589782714844,6,5
ihawk1,53,1786446725.618632,5,34.0,58.0,0.0,300.979736328125,293.2783508300781,300.979736328125,293.2783508300781,7,7
ihawk1,53,1786446725.618632,7,84.0,58.0,0.0,325.19635009765625,315.53466796875,325.19635009765625,315.53466796875,7,7
ihawk1,53,1786446725.618632,31,84.0,-17.0,0.0,369.3682556152344,290.8861083984375,369.3682556152344,290.8861083984375,7,7
ihawk1,54,1786446725.64487,5,34.0,58.0,0.0,301.0035705566406,293.2774353027344,301.0035705566406,293.2774353027344,4,3
ihawk1,55,1786446725.678813,5,34.0,58.0,0.0,301.13458251953125,293.2854919433594,301.13458251953125,293.2854919433594,3,2
ihawk1,56,1786446725.718811,5,34.0,58.0,0.0,301.05401611328125,293.28033447265625,301.05401611328125,293.28033447265625,5,4
ihawk1,57,1786446725.743431,5,34.0,58.0,0.0,301.03619384765625,293.26953125,301.03619384765625,293.26953125,3,2
ihawk1,58,1786446725.818801,5,34.0,58.0,0.0,301.0168762207031,293.2598571777344,301.0168762207031,293.2598571777344,6,3
ihawk1,60,1786446725.878624,31,84.0,-17.0,0.0,369.3733825683594,290.8921813964844,369.3733825683594,290.8921813964844,6,4
ihawk1,62,1786446725.94881,31,84.0,-17.0,0.0,369.35693359375,290.83282470703125,369.35693359375,290.83282470703125,7,5
ihawk1,70,1786446726.23909,31,84.0,-17.0,0.0,369.37396240234375,290.84002685546875,369.37396240234375,290.84002685546875,6,4
ihawk1,73,1786446726.378636,31,84.0,-17.0,0.0,369.3709411621094,290.8462829589844,369.3709411621094,290.8462829589844,6,5
ihawk1,75,1786446726.438713,31,84.0,-17.0,0.0,369.37359619140625,290.8672790527344,369.37359619140625,290.8672790527344,5,4
ihawk1,128,1786446728.383326,7,84.0,58.0,0.0,325.060546875,315.5144958496094,325.060546875,315.5144958496094,7,6
ihawk2,149,1786446729.233891,2,-41.0,58.0,0.0,313.3252868652344,342.5723571777344,313.3252868652344,342.5723571777344,14,11
ihawk2,151,1786446729.329734,2,-41.0,58.0,0.0,313.2923278808594,342.56121826171875,313.2923278808594,342.56121826171875,13,10
ihawk1,155,1786446729.408705,7,84.0,58.0,0.0,325.0160217285156,315.495361328125,325.0160217285156,315.495361328125,6,6
ihawk2,167,1786446729.893893,2,-41.0,58.0,0.0,313.2936096191406,342.5698547363281,313.2936096191406,342.5698547363281,13,10
ihawk1,187,1786446730.528403,7,84.0,58.0,0.0,325.0307922363281,315.51470947265625,325.0307922363281,315.51470947265625,5,5
ihawk1,188,1786446730.568708,7,84.0,58.0,0.0,325.0431823730469,315.51422119140625,325.0431823730469,315.51422119140625,6,5
ihawk1,200,1786446731.028666,7,84.0,58.0,0.0,325.1705322265625,315.5150451660156,325.1705322265625,315.5150451660156,5,4
ihawk1,244,1786446732.608706,7,84.0,58.0,0.0,325.04327392578125,315.5018310546875,325.04327392578125,315.5018310546875,6,6
ihawk2,246,1786446732.80559,2,-41.0,58.0,0.0,313.2774658203125,342.5582275390625,313.2774658203125,342.5582275390625,14,11
ihawk1,257,1786446733.038848,7,84.0,58.0,0.0,325.1049499511719,315.5071105957031,325.1049499511719,315.5071105957031,6,5
ihawk1,259,1786446733.138707,7,84.0,58.0,0.0,325.109130859375,315.5196228027344,325.109130859375,315.5196228027344,6,5
ihawk1,260,1786446733.168433,7,84.0,58.0,0.0,325.1621398925781,315.52044677734375,325.1621398925781,315.52044677734375,6,4
ihawk1,281,1786446733.96154,7,84.0,58.0,0.0,325.13714599609375,315.5162353515625,325.13714599609375,315.5162353515625,5,5
ihawk1,284,1786446734.060412,7,84.0,58.0,0.0,325.1292724609375,315.5140380859375,325.1292724609375,315.5140380859375,5,5
ihawk1,290,1786446734.290337,7,84.0,58.0,0.0,325.04156494140625,315.505615234375,325.04156494140625,315.505615234375,6,5
ihawk1,291,1786446734.328667,7,84.0,58.0,0.0,325.150390625,315.51971435546875,325.150390625,315.51971435546875,6,5
ihawk1,308,1786446734.918808,7,84.0,58.0,0.0,325.0530090332031,315.5304260253906,325.0530090332031,315.5304260253906,6,5
ihawk1,320,1786446735.348667,7,84.0,58.0,0.0,325.1669006347656,315.5130920410156,325.1669006347656,315.5130920410156,5,5
ihawk1,321,1786446735.388612,7,84.0,58.0,0.0,325.0473937988281,315.51177978515625,325.0473937988281,315.51177978515625,5,5
ihawk1,385,1786446737.760268,7,84.0,58.0,0.0,325.0347595214844,315.5115661621094,325.0347595214844,315.5115661621094,6,5
ihawk1,386,1786446737.828679,7,84.0,58.0,0.0,325.0494384765625,315.502197265625,325.0494384765625,315.502197265625,5,4
ihawk1,393,1786446738.052413,7,84.0,58.0,0.0,325.04046630859375,315.5284423828125,325.04046630859375,315.5284423828125,6,4
ihawk2,768,1786446751.967268,2,-41.0,58.0,0.0,313.30523681640625,342.56610107421875,313.30523681640625,342.56610107421875,14,11
ihawk2,769,1786446752.005518,2,-41.0,58.0,0.0,313.2904357910156,342.553955078125,313.2904357910156,342.553955078125,13,10
ihawk2,1074,1786446763.353932,2,-41.0,58.0,0.0,313.30084228515625,342.5773620605469,313.30084228515625,342.5773620605469,13,10
ihawk2,1098,1786446764.243899,2,-41.0,58.0,0.0,313.25848388671875,342.5387268066406,313.25848388671875,342.5387268066406,14,11
ihawk2,1368,1786446774.24388,2,-41.0,58.0,0.0,313.3098449707031,342.5720520019531,313.3098449707031,342.5720520019531,13,10
ihawk2,1372,1786446774.413927,2,-41.0,58.0,0.0,313.322021484375,342.5689392089844,313.322021484375,342.5689392089844,13,10
ihawk2,1373,1786446774.439992,2,-41.0,58.0,0.0,313.2787780761719,342.5349426269531,313.2787780761719,342.5349426269531,14,11
