frame_index,timestamp,corner_index,board_col,board_row,board_x_mm,board_y_mm,u_raw_px,v_raw_px,u_undist_px,v_undist_px
31,2026-08-07T21:26:56.326,18,0,3,0.0,75.0,254.88377380371094,275.44122314453125,254.88377380371094,275.44122314453125
31,2026-08-07T21:26:56.326,19,1,3,25.0,75.0,270.4916076660156,268.8853759765625,270.4916076660156,268.8853759765625
31,2026-08-07T21:26:56.326,20,2,3,50.0,75.0,285.5587158203125,262.8216552734375,285.5587158203125,262.8216552734375
31,2026-08-07T21:26:56.326,21,3,3,75.0,75.0,299.91796875,257.1299133300781,299.91796875,257.1299133300781
31,2026-08-07T21:26:56.326,22,4,3,100.0,75.0,313.5890197753906,251.5897979736328,313.5890197753906,251.5897979736328
31,2026-08-07T21:26:56.326,23,5,3,125.0,75.0,327.04217529296875,245.87112426757812,327.04217529296875,245.87112426757812
31,2026-08-07T21:26:56.326,24,0,4,0.0,100.0,263.5985412597656,285.3841857910156,263.5985412597656,285.3841857910156
31,2026-08-07T21:26:56.326,25,1,4,25.0,100.0,279.5052795410156,278.3959655761719,279.5052795410156,278.3959655761719
31,2026-08-07T21:26:56.326,26,2,4,50.0,100.0,294.8257751464844,271.8982849121094,294.8257751464844,271.8982849121094
31,2026-08-07T21:26:56.326,27,3,4,75.0,100.0,309.431884765625,265.7706298828125,309.431884765625,265.7706298828125
31,2026-08-07T21:26:56.326,28,4,4,100.0,100.0,323.2514953613281,259.69329833984375,323.2514953613281,259.69329833984375
31,2026-08-07T21:26:56.326,29,5,4,125.0,100.0,336.5727233886719,253.45860290527344,336.5727233886719,253.45860290527344
31,2026-08-07T21:26:56.326,30,0,5,0.0,125.0,272.8994140625,295.7734069824219,272.8994140625,295.7734069824219
31,2026-08-07T21:26:56.326,31,1,5,25.0,125.0,289.0094299316406,288.4999694824219,289.0094299316406,288.4999694824219
31,2026-08-07T21:26:56.326,32,2,5,50.0,125.0,304.7159423828125,281.5986022949219,304.7159423828125,281.5986022949219
31,2026-08-07T21:26:56.326,33,3,5,75.0,125.0,319.4278564453125,274.8707580566406,319.4278564453125,274.8707580566406
31,2026-08-07T21:26:56.326,34,4,5,100.0,125.0,333.40240478515625,268.28204345703125,333.40240478515625,268.28204345703125
31,2026-08-07T21:26:56.326,35,5,5,125.0,125.0,347.1745910644531,261.68902587890625,347.1745910644531,261.68902587890625
