subset_id,n_points,distribution,trial_index,global_trial_id,spread_score,hull_area_mm2,hull_coverage,mean_pairwise_distance_mm,corner_indices,grid_col_row
N16_spread_T035,16,spread,35,1235,0.7484098425329195,21875.0,1.0,106.84511325015072,0;2;4;5;6;8;9;10;18;20;21;29;42;43;45;47,"0,0;2,0;4,0;5,0;0,1;2,1;3,1;4,1;0,3;2,3;3,3;5,4;0,7;1,7;3,7;5,7"
N16_spread_T036,16,spread,36,1236,0.748080105206242,21875.0,1.0,106.70328786331243,0;2;4;5;6;7;17;20;26;27;32;34;41;42;43;47,"0,0;2,0;4,0;5,0;0,1;1,1;5,2;2,3;2,4;3,4;2,5;4,5;5,6;0,7;1,7;5,7"
N16_spread_T037,16,spread,37,1237,0.7474791902627641,21875.0,1.0,106.44482457323127,0;2;4;5;7;10;15;20;21;28;30;38;41;42;43;47,"0,0;2,0;4,0;5,0;1,1;4,1;3,2;2,3;3,3;4,4;0,5;2,6;5,6;0,7;1,7;5,7"
N16_spread_T038,16,spread,38,1238,0.7474418639422014,21875.0,1.0,106.42876991570611,0;2;4;5;7;13;16;18;21;23;24;31;40;42;45;47,"0,0;2,0;4,0;5,0;1,1;1,2;4,2;0,3;3,3;5,3;0,4;1,5;4,6;0,7;3,7;5,7"
N16_spread_T039,16,spread,39,1239,0.7473687043826006,21875.0,1.0,106.39730279930218,0;5;6;8;13;16;17;24;27;30;31;37;41;42;43;47,"0,0;5,0;0,1;2,1;1,2;4,2;5,2;0,4;3,4;0,5;1,5;1,6;5,6;0,7;1,7;5,7"
N16_spread_T040,16,spread,40,1240,0.747200430433328,21875.0,1.0,106.32492543702149,0;2;5;7;9;17;18;20;29;30;31;34;38;42;45;47,"0,0;2,0;5,0;1,1;3,1;5,2;0,3;2,3;5,4;0,5;1,5;4,5;2,6;0,7;3,7;5,7"
N16_spread_T041,16,spread,41,1241,0.7469272495320117,21875.0,1.0,106.20742588852819,0;2;4;5;7;8;15;29;31;32;37;38;39;42;43;47,"0,0;2,0;4,0;5,0;1,1;2,1;3,2;5,4;1,5;2,5;1,6;2,6;3,6;0,7;1,7;5,7"
N16_spread_T042,16,spread,42,1242,0.7467498762480442,21875.0,1.0,106.1311347544096,0;4;5;8;10;13;23;27;29;30;31;34;37;42;43;47,"0,0;4,0;5,0;2,1;4,1;1,2;5,3;3,4;5,4;0,5;1,5;4,5;1,6;0,7;1,7;5,7"
N16_spread_T043,16,spread,43,1243,0.7467221361337706,21875.0,1.0,106.11920328011327,0;2;5;8;9;15;17;19;24;30;32;38;41;42;45;47,"0,0;2,0;5,0;2,1;3,1;3,2;5,2;1,3;0,4;0,5;2,5;2,6;5,6;0,7;3,7;5,7"
N16_spread_T044,16,spread,44,1244,0.7465548369248466,21875.0,1.0,106.04724516950913,0;5;9;10;13;15;18;24;30;37;38;40;41;42;45;47,"0,0;5,0;3,1;4,1;1,2;3,2;0,3;0,4;0,5;1,6;2,6;4,6;5,6;0,7;3,7;5,7"
N16_spread_T045,16,spread,45,1245,0.7464381828592281,21875.0,1.0,105.9970703587005,0;4;5;7;10;13;16;19;24;30;32;37;40;42;45;47,"0,0;4,0;5,0;1,1;4,1;1,2;4,2;1,3;0,4;0,5;2,5;1,6;4,6;0,7;3,7;5,7"
N16_spread_T046,16,spread,46,1246,0.7464311350997579,21875.0,1.0,105.99403900273214,0;2;4;5;13;18;23;24;26;29;30;37;38;39;42;47,"0,0;2,0;4,0;5,0;1,2;0,3;5,3;0,4;2,4;5,4;0,5;1,6;2,6;3,6;0,7;5,7"
N16_spread_T047,16,spread,47,1247,0.7463582091673572,21875.0,1.0,105.96267237318646,0;2;5;7;9;19;20;24;27;29;31;41;42;43;45;47,"0,0;2,0;5,0;1,1;3,1;1,3;2,3;0,4;3,4;5,4;1,5;5,6;0,7;1,7;3,7;5,7"
N16_spread_T048,16,spread,48,1248,0.7463515022451055,21875.0,1.0,105.95978761684894,0;4;5;8;10;17;18;20;24;30;32;34;38;41;42;47,"0,0;4,0;5,0;2,1;4,1;5,2;0,3;2,3;0,4;0,5;2,5;4,5;2,6;5,6;0,7;5,7"
N16_spread_T049,16,spread,49,1249,0.7463470247887699,21875.0,1.0,105.95786179006058,0;2;5;8;16;23;24;29;31;32;39;40;42;43;45;47,"0,0;2,0;5,0;2,1;4,2;5,3;0,4;5,4;1,5;2,5;3,6;4,6;0,7;1,7;3,7;5,7"
N16_spread_T050,16,spread,50,1250,0.7463410772404485,21875.0,1.0,105.9553036528005,0;4;5;7;13;17;19;26;28;37;38;40;41;42;45;47,"0,0;4,0;5,0;1,1;1,2;5,2;1,3;2,4;4,4;1,6;2,6;4,6;5,6;0,7;3,7;5,7"
N16_spread_T051,16,spread,51,1251,0.7461886419879256,21875.0,1.0,105.88973877158219,0;2;5;7;10;15;17;21;23;24;26;38;42;43;45;47,"0,0;2,0;5,0;1,1;4,1;3,2;5,2;3,3;5,3;0,4;2,4;2,6;0,7;1,7;3,7;5,7"
N16_spread_T052,16,spread,52,1252,0.7461056235332798,21875.0,1.0,105.85403118408068,0;2;5;7;13;15;20;23;24;26;39;41;42;43;45;47,"0,0;2,0;5,0;1,1;1,2;3,2;2,3;5,3;0,4;2,4;3,6;5,6;0,7;1,7;3,7;5,7"
N16_spread_T053,16,spread,53,1253,0.7459131378717075,21875.0,1.0,105.77123997057633,0;4;5;9;15;17;19;21;24;30;32;40;42;43;45;47,"0,0;4,0;5,0;3,1;3,2;5,2;1,3;3,3;0,4;0,5;2,5;4,6;0,7;1,7;3,7;5,7"
N16_spread_T054,16,spread,54,1254,0.7458958091932798,21875.0,1.0,105.76378662416218,0;5;6;9;13;16;23;24;27;30;32;37;41;42;45;47,"0,0;5,0;0,1;3,1;1,2;4,2;5,3;0,4;3,4;0,5;2,5;1,6;5,6;0,7;3,7;5,7"
N16_spread_T055,16,spread,55,1255,0.7458223824575358,21875.0,1.0,105.73220459095384,0;4;5;6;9;13;17;26;27;29;30;34;39;42;45;47,"0,0;4,0;5,0;0,1;3,1;1,2;5,2;2,4;3,4;5,4;0,5;4,5;3,6;0,7;3,7;5,7"
N16_spread_T056,16,spread,56,1256,0.7455131337643413,21875.0,1.0,105.59919169859046,0;2;5;7;13;17;19;23;24;28;30;34;38;42;45;47,"0,0;2,0;5,0;1,1;1,2;5,2;1,3;5,3;0,4;4,4;0,5;4,5;2,6;0,7;3,7;5,7"
N16_spread_T057,16,spread,57,1257,0.7454879521771616,21875.0,1.0,105.58836068840743,0;2;4;5;10;20;21;28;29;30;37;39;40;42;45;47,"0,0;2,0;4,0;5,0;4,1;2,3;3,3;4,4;5,4;0,5;1,6;3,6;4,6;0,7;3,7;5,7"
