subset_id,n_points,distribution,trial_index,point_order,corner_index,board_col,board_row,board_x_mm,board_y_mm,u_undist_median_px,v_undist_median_px
N04_spread_T040,4,spread,40,4,45,3,7,75.0,175.0,341.5081787109375,294.6528625488281
N04_spread_T041,4,spread,41,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T041,4,spread,41,2,9,3,1,75.0,25.0,282.7714385986328,241.5723114013672
N04_spread_T041,4,spread,41,3,43,1,7,25.0,175.0,310.14788818359375,310.045654296875
N04_spread_T041,4,spread,41,4,47,5,7,125.0,175.0,369.9309844970703,279.62353515625
N04_spread_T042,4,spread,42,1,5,5,0,125.0,0.0,300.5533142089844,225.06234741210938
N04_spread_T042,4,spread,42,2,7,1,1,25.0,25.0,254.33206176757812,251.9332275390625
N04_spread_T042,4,spread,42,3,24,0,4,0.0,100.0,263.58941650390625,285.3874206542969
N04_spread_T042,4,spread,42,4,47,5,7,125.0,175.0,369.9309844970703,279.62353515625
N04_spread_T043,4,spread,43,1,5,5,0,125.0,0.0,300.5533142089844,225.06234741210938
N04_spread_T043,4,spread,43,2,6,0,1,0.0,25.0,239.16091918945312,257.6477966308594
N04_spread_T043,4,spread,43,3,41,5,6,125.0,150.0,357.9084167480469,270.3205261230469
N04_spread_T043,4,spread,43,4,45,3,7,75.0,175.0,341.5081787109375,294.6528625488281
N04_spread_T044,4,spread,44,1,2,2,0,50.0,0.0,260.8468322753906,238.825927734375
N04_spread_T044,4,spread,44,2,6,0,1,0.0,25.0,239.16091918945312,257.6477966308594
N04_spread_T044,4,spread,44,3,41,5,6,125.0,150.0,357.9084167480469,270.3205261230469
N04_spread_T044,4,spread,44,4,42,0,7,0.0,175.0,293.22637939453125,318.2282409667969
N04_spread_T045,4,spread,45,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T045,4,spread,45,2,2,2,0,50.0,0.0,260.8468322753906,238.825927734375
N04_spread_T045,4,spread,45,3,43,1,7,25.0,175.0,310.14788818359375,310.045654296875
N04_spread_T045,4,spread,45,4,47,5,7,125.0,175.0,369.9309844970703,279.62353515625
N04_spread_T046,4,spread,46,1,5,5,0,125.0,0.0,300.5533142089844,225.06234741210938
N04_spread_T046,4,spread,46,2,6,0,1,0.0,25.0,239.16091918945312,257.6477966308594
N04_spread_T046,4,spread,46,3,18,0,3,0.0,75.0,254.88031768798828,275.4424743652344
N04_spread_T046,4,spread,46,4,47,5,7,125.0,175.0,369.9309844970703,279.62353515625
N04_spread_T047,4,spread,47,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T047,4,spread,47,2,5,5,0,125.0,0.0,300.5533142089844,225.06234741210938
N04_spread_T047,4,spread,47,3,24,0,4,0.0,100.0,263.58941650390625,285.3874206542969
N04_spread_T047,4,spread,47,4,40,4,6,100.0,150.0,344.27281188964844,277.3101501464844
N04_spread_T048,4,spread,48,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T048,4,spread,48,2,17,5,2,125.0,50.0,317.6033935546875,238.67313385009766
N04_spread_T048,4,spread,48,3,34,4,5,100.0,125.0,333.4026794433594,268.28565979003906
N04_spread_T048,4,spread,48,4,42,0,7,0.0,175.0,293.22637939453125,318.2282409667969
N04_spread_T049,4,spread,49,1,6,0,1,0.0,25.0,239.16091918945312,257.6477966308594
N04_spread_T049,4,spread,49,2,9,3,1,75.0,25.0,282.7714385986328,241.5723114013672
N04_spread_T049,4,spread,49,3,41,5,6,125.0,150.0,357.9084167480469,270.3205261230469
N04_spread_T049,4,spread,49,4,42,0,7,0.0,175.0,293.22637939453125,318.2282409667969
N04_spread_T050,4,spread,50,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T050,4,spread,50,2,17,5,2,125.0,50.0,317.6033935546875,238.67313385009766
N04_spread_T050,4,spread,50,3,30,0,5,0.0,125.0,272.9045715332031,295.7793426513672
N04_spread_T050,4,spread,50,4,41,5,6,125.0,150.0,357.9084167480469,270.3205261230469
N04_spread_T051,4,spread,51,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T051,4,spread,51,2,28,4,4,100.0,100.0,323.2547912597656,259.6943054199219
N04_spread_T051,4,spread,51,3,42,0,7,0.0,175.0,293.22637939453125,318.2282409667969
N04_spread_T051,4,spread,51,4,47,5,7,125.0,175.0,369.9309844970703,279.62353515625
N04_spread_T052,4,spread,52,1,5,5,0,125.0,0.0,300.5533142089844,225.06234741210938
N04_spread_T052,4,spread,52,2,6,0,1,0.0,25.0,239.16091918945312,257.6477966308594
N04_spread_T052,4,spread,52,3,30,0,5,0.0,125.0,272.9045715332031,295.7793426513672
N04_spread_T052,4,spread,52,4,40,4,6,100.0,150.0,344.27281188964844,277.3101501464844
N04_spread_T053,4,spread,53,1,6,0,1,0.0,25.0,239.16091918945312,257.6477966308594
N04_spread_T053,4,spread,53,2,17,5,2,125.0,50.0,317.6033935546875,238.67313385009766
N04_spread_T053,4,spread,53,3,41,5,6,125.0,150.0,357.9084167480469,270.3205261230469
N04_spread_T053,4,spread,53,4,43,1,7,25.0,175.0,310.14788818359375,310.045654296875
