dataset,camera,pose_key,height_mm,run_id,n_runs_for_condition,b_rho_x_mm,b_rho_y_mm,b_rho_z_mm,b_omega_x_rad,b_omega_y_rad,b_omega_z_rad,definition
E2,ihawk1,marker_1,10.0,20260808_162715,5,5.938018383647744,-3.9850714373844163,-0.8429259008015291,-0.005607744676796263,-0.0032085961965510426,-0.019310690339459043,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_2,10.0,20260808_131913,5,0.4215931758973007,-1.2384637342745781,0.6527920741025908,-0.00010067826366521786,-0.0065689189727335595,0.006249920831771141,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_2,10.0,20260808_141232,5,-2.154757903694416,4.129992269841495,1.2073346128518578,-0.00022341828847617033,0.0025264695945741308,-0.003403190583448866,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_2,10.0,20260808_145501,5,0.04073529975273044,-1.488199734569738,-0.18661401316701898,-0.0015564794766008525,-0.004635157913904792,0.012524203357535556,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_2,10.0,20260808_151001,5,-0.6706904283268776,0.15216324748394786,-0.3261619588743022,0.00210382705669056,-0.0010882178994971248,0.0033035824476388967,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_2,10.0,20260808_162715,5,2.3631198563713145,-1.5554920484810222,-1.3473507149131263,-0.00022325102799537693,0.00976582519156798,-0.018674516053534974,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_3,10.0,20260808_131913,5,-0.8404638356199271,-0.92235936901672,1.5391847429413286,-0.012328520272345168,-0.0005995213490150733,-0.008438110393100157,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_3,10.0,20260808_141232,5,-1.6490640672688708,4.596090435609691,0.06914446399451611,0.010055185130738074,0.001721623597046833,0.004140391682746231,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_3,10.0,20260808_145501,5,-1.015886249225148,-1.2361843074690722,1.387721032300739,0.0002862667984539655,0.0031418677927766464,0.014376067007019431,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_3,10.0,20260808_151001,5,-0.1651867815261071,0.590561044934067,-0.36427803380555235,-7.102229450766168e-05,0.0010412614637791181,-0.001588606925954468,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_3,10.0,20260808_162715,5,3.6706009336401673,-3.028107804057749,-2.6317722054308375,0.0020580906376708153,-0.0053052315045928,-0.00848974137070128,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_4,10.0,20260808_131913,5,0.32766148972034814,0.45661644263005274,-0.33702189627141593,0.007288400676989221,-0.001487527634711623,0.01589225789623236,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_4,10.0,20260808_141232,5,-1.9709798767752775,4.092822359923449,0.9971854056524143,-0.0049334739422073086,0.005104570351555954,-0.0045383423814467395,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_4,10.0,20260808_145501,5,-1.5045364850421596,-1.4441651823617119,0.36153365944799776,-0.0017726695961308174,-0.0016332361802106868,0.009177955809180573,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_4,10.0,20260808_151001,5,-0.7457737133325446,-0.003399980083115415,-0.08176622921843403,0.0008934559639608974,-0.0024387792216337967,0.0020122708266658417,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_4,10.0,20260808_162715,5,3.893628585429727,-3.1018736401084994,-0.9399309396107828,-0.0014757131026323623,0.0004549726850572284,-0.02254414215068809,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_0,15.0,20260808_131913,5,-3.550156383316465,-2.5245845926331407,1.927219487942821,-0.009123050369121248,-0.0035196359818688155,0.005920965034364283,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_0,15.0,20260808_141232,5,0.1269067654364846,4.774737686658296,-0.14743025703140777,0.002932948135505946,0.005627917208258639,-0.0010257983800157583,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_0,15.0,20260808_145501,5,-0.8085619281035717,2.562157211570714,-2.2310794749049796,0.0056389128116191645,0.0016348571163998192,0.004050511745705031,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
