dataset,camera,height_mm,component,run_id,pose_key,sample_id,rho_x_mm,rho_y_mm,rho_z_mm,omega_x_rad,omega_y_rad,omega_z_rad,coordinate
E2,ihawk2,5.0,within_pose,20260808_151001,marker_2,3,-0.2675329582013017,0.05572483507802021,0.13056442514456137,-0.0006183534970520667,0.0012255243691328883,-0.00023586868805702455,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_162715,marker_2,1,0.1872924220053326,-0.07016534490514474,-0.16159211243615626,-0.00013639603474451922,7.922971568080048e-05,-0.0005519395887185636,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_162715,marker_2,2,0.19306698457249089,-0.03841362218217526,-0.11873183074924962,0.0002907761300424363,-0.0004189781623399155,-6.688096048192045e-05,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_162715,marker_2,3,-0.3803594065778081,0.10857896708736814,0.28032394318539966,-0.00015438009527215003,0.00033974844665216324,0.0006188205493445303,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_131913,marker_3,1,-0.1852976309479695,0.03035996980517674,0.096339420284403,-0.0005198678776003455,0.0002718055397573866,-5.703392381788697e-05,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_131913,marker_3,2,-0.04240053398937501,-0.029475313639327295,0.0036801503947982823,0.00028152123295218994,-0.00036333296088534987,0.0003723459043127687,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_131913,marker_3,3,0.2276981649374972,-0.0008846561658603445,-0.1000195706791553,0.00023834664438212563,9.152742145558711e-05,-0.00031531198082189823,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_141232,marker_3,1,0.03480478529053743,0.001357969090535237,-0.08645636094730856,-0.00040151518953121637,-0.00018801218298006433,1.7462502953184468e-05,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_141232,marker_3,2,0.07373687373761537,0.002560667463845638,-0.012317213688108284,0.00040841283574159353,-0.00021199862992728527,-0.00017879381005835506,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_141232,marker_3,3,-0.10854165902812764,-0.003918636554381934,0.09877357463548508,-6.897646614849802e-06,0.0004000108128896618,0.00016133130719133337,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_145501,marker_3,1,0.07143882433482647,-0.003845069726278422,-0.00908170646634601,0.00032756817980682663,0.00023360054274206666,-8.991696346307126e-06,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_145501,marker_3,2,-0.05779761256441313,0.03150960243959623,0.01739412458751489,-0.0004844122541945754,-0.0001224891133376355,-0.00031917417635257125,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_145501,marker_3,3,-0.01364121177047199,-0.027664532713318313,-0.008312418121123936,0.0001568440741221132,-0.00011111142929321076,0.0003281658722578977,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_151001,marker_3,1,0.1250205971525948,-0.06090632075351206,-0.07112281721970759,0.0011949351766883881,-0.0014549265283390193,0.00032493478174969626,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_151001,marker_3,2,-0.36698740828399246,0.020444294581242754,0.2646663223477646,-0.0008798526569378086,0.0016787873758960172,0.0003697577725948548,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_151001,marker_3,3,0.24196681113124519,0.040462026172243454,-0.19354350512808952,-0.0003150825197374453,-0.00022386084762045623,-0.000694692554388529,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_162715,marker_3,1,-0.014620503946630928,0.02528544435282966,0.04074680203863144,-0.0001820539865333903,0.0004593737738842099,-0.00018167310418901842,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_162715,marker_3,2,0.4794671319700943,-0.08001212552345158,-0.4843282870944905,-0.0005390511067471858,-0.0010511080779571978,-0.00018700614262313051,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_162715,marker_3,3,-0.464846628023492,0.05472668117063275,0.4435814850558546,0.0007211050933472043,0.000591734303996903,0.000368679246865247,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_131913,marker_4,1,-0.028847650422477406,0.0022229877083857637,0.01883739401042977,0.0002992220484514392,0.0005522483166790571,0.00019045710148291454,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_131913,marker_4,2,-0.05055827725783107,-0.0023764875748859006,0.04945149513774859,-0.00023302309123034843,7.461775291287897e-05,5.050239656318078e-05,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_131913,marker_4,3,0.07940592768045102,0.0001534998665046431,-0.06828888914806223,-6.619895710027594e-05,-0.0006268660697966531,-0.0002409594981376803,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_141232,marker_4,1,-0.2009238078108923,5.8699317004454094e-05,0.1827081853690361,0.0005583588138244693,0.0002900555273008709,0.0004423991404719599,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_141232,marker_4,2,0.14468491090703275,0.0038210911310822683,-0.12040350710091353,-0.00042137269536950096,-0.0005358252805756182,-0.00015417580943162458,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_141232,marker_4,3,0.05623889690397458,-0.0038797904480883036,-0.06230467826806839,-0.0001369861185904932,0.0002457697531891997,-0.00028822333113915423,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_145501,marker_4,1,-0.08270471171712274,0.0007474076669003028,0.08940074204819314,-0.0007341049141349062,0.00032657695061182897,-0.0003004853879605839,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_145501,marker_4,2,-0.020615801353426565,0.008774443185223758,0.02067697967165398,-0.00015273157475859364,0.0004511691031954889,-0.0004142013619489111,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_145501,marker_4,3,0.1033205130705663,-0.009521850852121679,-0.11007772171982157,0.0008868364890241727,-0.0007777460539767254,0.0007146867500650823,right-invariant board-normalized SE(3) log
