dataset,camera,pose_key,height_mm,run_id,feature,landmark_id,n,mean_u_px,mean_v_px,sigma_u_px,sigma_v_px,cov_uu_px2,cov_uv_px2,cov_vu_px2,cov_vv_px2,source_file
E2,ihawk1,marker_3_BR,10.0,20260808_162715,corner3,3,3,384.99532066666666,277.80952933333333,0.008498549837092709,0.009420898276346781,7.222534933354852e-05,-1.5097153333559355e-06,-1.5097153333559355e-06,8.875332433327376e-05,E2\E2_dual_camera_height_scan\run_20260808_162715\raw\E2_dual_height_raw_20260808_162715.csv
E2,ihawk1,marker_4_C,10.0,20260808_131913,marker_center,4,3,297.49921166666667,240.30361166666668,0.015289984118159515,0.014985733693523443,0.00023378361433357017,0.00010114261033340315,0.00010114261033340315,0.00022457221433320378,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\E2_dual_height_raw_20260808_131913.csv
E2,ihawk1,marker_4_C,10.0,20260808_131913,corner0,4,3,275.55356866666665,237.7786306666667,0.004467049399044641,0.002893093903297979,1.9954530333505087e-05,-1.2023015166682087e-05,-1.2023015166682087e-05,8.369992333299937e-06,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\E2_dual_height_raw_20260808_131913.csv
E2,ihawk1,marker_4_C,10.0,20260808_131913,corner1,4,3,301.56223566666665,228.03188566666665,0.05186829706412244,0.00839452752293368,0.0026903202403320524,-0.0003221019731663497,-0.0003221019731663497,7.046809233329105e-05,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\E2_dual_height_raw_20260808_131913.csv
E2,ihawk1,marker_4_C,10.0,20260808_131913,corner2,4,3,319.7723083333333,242.00342799999999,0.012357729335657368,0.017907246214874384,0.0001527134743333667,0.0001571877620001291,0.0001571877620001291,0.000320669467000133,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\E2_dual_height_raw_20260808_131913.csv
E2,ihawk1,marker_4_C,10.0,20260808_131913,corner3,4,3,293.1087343333333,253.40050266666665,0.009693500726445368,0.04406384096210527,9.396395633359688e-05,-0.0001259232838340695,-0.0001259232838340695,0.001941622080333706,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\E2_dual_height_raw_20260808_131913.csv
E2,ihawk1,marker_4_C,10.0,20260808_141232,marker_center,4,3,295.0018436666667,238.99374133333333,0.0037993386705356875,0.00753743433360465,1.4434974333427884e-05,2.3652693166705617e-05,2.3652693166705617e-05,5.681291633340217e-05,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\E2_dual_height_raw_20260808_141232.csv
E2,ihawk1,marker_4_C,10.0,20260808_141232,corner0,4,3,273.3881226666667,236.362111,0.0002745001517801678,0.0007842831121441848,7.535033332733517e-08,-1.6317999999500598e-07,-1.6317999999500598e-07,6.150999999945678e-07,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\E2_dual_height_raw_20260808_141232.csv
E2,ihawk1,marker_4_C,10.0,20260808_141232,corner1,4,3,299.441396,227.039683,0.018193099598468505,0.012714917891985074,0.0003309888729997949,0.00022163671549995753,0.00022163671549995753,0.00016166913699992215,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\E2_dual_height_raw_20260808_141232.csv
E2,ihawk1,marker_4_C,10.0,20260808_141232,corner2,4,3,317.3451843333333,240.927831,0.031454083460392426,0.03420575034990585,0.0009893593663333326,0.001069272103000089,0.001069272103000089,0.0011700333570000838,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\E2_dual_height_raw_20260808_141232.csv
E2,ihawk1,marker_4_C,10.0,20260808_141232,corner3,4,3,289.832672,251.64533966666667,0.009408499986720602,0.005285641714426807,8.851987200012158e-05,-4.9729959999994474e-05,-4.9729959999994474e-05,2.793800833328876e-05,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\E2_dual_height_raw_20260808_141232.csv
E2,ihawk1,marker_4_C,10.0,20260808_145501,marker_center,4,3,297.1920036666666,240.87557466666667,0.011462150641724738,0.0030729471738601293,0.00013138089733359085,3.3770220333364045e-05,3.3770220333364045e-05,9.443004333334956e-06,E2\E2_dual_camera_height_scan\run_20260808_145501\raw\E2_dual_height_raw_20260808_145501.csv
E2,ihawk1,marker_4_C,10.0,20260808_145501,corner0,4,3,275.1770936666667,238.46124266666666,0.010525559430898685,0.007930299952293263,0.00011078740133338026,7.733210333343088e-05,7.733210333343088e-05,6.288965733334254e-05,E2\E2_dual_camera_height_scan\run_20260808_145501\raw\E2_dual_height_raw_20260808_145501.csv
E2,ihawk1,marker_4_C,10.0,20260808_145501,corner1,4,3,301.43679833333334,228.57919333333334,0.02971879493408417,0.010637210975326411,0.0008832067723341469,0.0002825705393337923,0.0002825705393337923,0.00011315025733360466,E2\E2_dual_camera_height_scan\run_20260808_145501\raw\E2_dual_height_raw_20260808_145501.csv
E2,ihawk1,marker_4_C,10.0,20260808_145501,corner2,4,3,319.53230766666667,242.640569,0.011248178978555425,0.008487932846098691,0.00012652153033361618,-7.731571600001937e-05,-7.731571600001937e-05,7.204500399988104e-05,E2\E2_dual_camera_height_scan\run_20260808_145501\raw\E2_dual_height_raw_20260808_145501.csv
E2,ihawk1,marker_4_C,10.0,20260808_145501,corner3,4,3,292.621816,253.821294,0.005271849485738739,0.012853165680088586,2.7792397000283807e-05,-4.853584800032586e-05,-4.853584800032586e-05,0.00016520386799980706,E2\E2_dual_camera_height_scan\run_20260808_145501\raw\E2_dual_height_raw_20260808_145501.csv
E2,ihawk1,marker_4_C,10.0,20260808_151001,marker_center,4,3,297.0903676666667,240.52660999999998,0.017794396205933916,0.007764269508459618,0.0003166405363337553,9.979168499797749e-06,9.979168499797749e-06,6.028388099999575e-05,E2\E2_dual_camera_height_scan\run_20260808_151001\raw\E2_dual_height_raw_20260808_151001.csv
E2,ihawk1,marker_4_C,10.0,20260808_151001,corner0,4,3,275.1762386666667,237.97456866666667,0.004370358833459969,0.016350497861943616,1.9100036333201584e-05,-6.436268216650672e-05,-6.436268216650672e-05,0.00026733878033342276,E2\E2_dual_camera_height_scan\run_20260808_151001\raw\E2_dual_height_raw_20260808_151001.csv
E2,ihawk1,marker_4_C,10.0,20260808_151001,corner1,4,3,301.47900366666664,228.27676899999997,0.0048986386204028865,0.003710715429667943,2.3996660333302695e-05,8.150224999337115e-07,8.150224999337115e-07,1.3769408999975748e-05,E2\E2_dual_camera_height_scan\run_20260808_151001\raw\E2_dual_height_raw_20260808_151001.csv
E2,ihawk1,marker_4_C,10.0,20260808_151001,corner2,4,3,319.34741233333335,242.36637400000004,0.013345503899576863,0.0068068541926566825,0.00017810247433362126,-6.63599139999179e-05,-6.63599139999179e-05,4.6333264000087855e-05,E2\E2_dual_camera_height_scan\run_20260808_151001\raw\E2_dual_height_raw_20260808_151001.csv
E2,ihawk1,marker_4_C,10.0,20260808_151001,corner3,4,3,292.35881566666666,253.48872866666667,0.07256312276446794,0.01008246459618063,0.005265406785331245,0.0006065258383334167,0.0006065258383334167,0.00010165609233323584,E2\E2_dual_camera_height_scan\run_20260808_151001\raw\E2_dual_height_raw_20260808_151001.csv
E2,ihawk1,marker_4_C,10.0,20260808_162715,marker_center,4,3,300.652285,240.958813,0.006696340119785938,0.008819181141133114,4.484097099985476e-05,-1.0686622999910623e-05,-1.0686622999910623e-05,7.777795600011797e-05,E2\E2_dual_camera_height_scan\run_20260808_162715\raw\E2_dual_height_raw_20260808_162715.csv
E2,ihawk1,marker_4_C,10.0,20260808_162715,corner0,4,3,278.865865,238.19312033333335,0.0053868509353939,0.011131791874322412,2.9018163000154134e-05,-5.099710400009324e-05,-5.099710400009324e-05,0.00012391679033323046,E2\E2_dual_camera_height_scan\run_20260808_162715\raw\E2_dual_height_raw_20260808_162715.csv
E2,ihawk1,marker_4_C,10.0,20260808_162715,corner1,4,3,305.38166299999995,228.73682166666666,0.018530534261061295,0.012650619918935095,0.00034338070000036644,0.00023251790500012506,0.00023251790500012506,0.00016003818433335738,E2\E2_dual_camera_height_scan\run_20260808_162715\raw\E2_dual_height_raw_20260808_162715.csv
E2,ihawk1,marker_4_C,10.0,20260808_162715,corner2,4,3,322.826884,243.21678166666666,0.009592316925547257,0.00854834465456418,9.201254400014038e-05,-7.78744319999406e-05,-7.78744319999406e-05,7.307419633321599e-05,E2\E2_dual_camera_height_scan\run_20260808_162715\raw\E2_dual_height_raw_20260808_162715.csv
E2,ihawk1,marker_4_C,10.0,20260808_162715,corner3,4,3,295.53472933333336,253.68852733333335,0.01888035773849857,0.01945676379394796,0.0003564679083336829,6.589983328871967e-07,6.589983328871967e-07,0.0003785656573334842,E2\E2_dual_camera_height_scan\run_20260808_162715\raw\E2_dual_height_raw_20260808_162715.csv
E2,ihawk1,marker_0_TL,15.0,20260808_131913,marker_center,0,3,222.99304066666664,219.37146966666668,0.002904039485506299,0.008293995498754574,8.43344533337969e-06,1.0833677333398663e-05,1.0833677333398663e-05,6.879036133336115e-05,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\E2_dual_height_raw_20260808_131913.csv
E2,ihawk1,marker_0_TL,15.0,20260808_131913,corner0,0,3,202.69159433333334,217.11012233333335,0.002125324994767438,0.04816858802511534,4.517006333383211e-06,9.994791333385116e-05,9.994791333385116e-05,0.002320212872333285,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\E2_dual_height_raw_20260808_131913.csv
E2,ihawk1,marker_0_TL,15.0,20260808_131913,corner1,0,3,230.54677833333335,208.81034333333332,0.030116004156142132,0.0252569004894302,0.0009069737063327702,0.0007582313983328999,0.0007582313983328999,0.0006379110223329796,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\E2_dual_height_raw_20260808_131913.csv
E2,ihawk1,marker_0_TL,15.0,20260808_131913,corner2,0,3,243.66195666666667,220.971176,0.002038227743247231,0.02032670187216675,4.154372333342701e-06,3.9571238500008443e-05,3.9571238500008443e-05,0.00041317480899994737,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\E2_dual_height_raw_20260808_131913.csv
E2,ihawk1,marker_0_TL,15.0,20260808_131913,corner3,0,3,215.07183366666666,230.59423833333335,0.04002145546245521,0.01345154208012663,0.001601716897333286,0.0005314640976667601,0.0005314640976667601,0.00018094398433341743,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\E2_dual_height_raw_20260808_131913.csv
E2,ihawk1,marker_0_TL,15.0,20260808_141232,marker_center,0,3,223.34186433333332,217.89964166666667,0.0183520920969092,0.014214571408708337,0.0003367992843334371,0.00013769966916672837,0.00013769966916672837,0.00020205404033326853,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\E2_dual_height_raw_20260808_141232.csv
E2,ihawk1,marker_0_TL,15.0,20260808_141232,corner0,0,3,203.36560066666667,215.442393,0.033871053073875716,0.03085384321280202,0.0011472482363333058,0.0010446315085000744,0.0010446315085000744,0.0009519596410001694,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\E2_dual_height_raw_20260808_141232.csv
E2,ihawk1,marker_0_TL,15.0,20260808_141232,corner1,0,3,230.85486333333333,207.4059093333333,0.014964013042412384,0.0077149812918419275,0.00022392168633348793,0.00011140986133347441,0.00011140986133347441,5.952093633347094e-05,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\E2_dual_height_raw_20260808_141232.csv
E2,ihawk1,marker_0_TL,15.0,20260808_141232,corner2,0,3,243.819041,219.93294766666668,0.010355515824903128,0.04224683517536007,0.0001072367079998191,0.0003988217369999067,0.0003988217369999067,0.001784795082334041,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\E2_dual_height_raw_20260808_141232.csv
E2,ihawk1,marker_0_TL,15.0,20260808_141232,corner3,0,3,215.32795233333331,228.81731666666667,0.04240371889744302,0.008938588330002929,0.0017980753763333663,0.0003696943936664159,0.0003696943936664159,7.989836133326454e-05,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\E2_dual_height_raw_20260808_141232.csv
E2,ihawk1,marker_0_TL,15.0,20260808_145501,marker_center,0,3,223.48319266666667,219.70133566666667,0.006166329324104262,0.0002417153973829939,3.8023617333308135e-05,-1.3862396666361119e-06,-1.3862396666361119e-06,5.842633333201866e-08,E2\E2_dual_camera_height_scan\run_20260808_145501\raw\E2_dual_height_raw_20260808_145501.csv
E2,ihawk1,marker_0_TL,15.0,20260808_145501,corner0,0,3,203.36363233333336,217.26022333333333,0.006138102013927227,0.00170352937554411,3.7676296333377477e-05,-1.0449391666686737e-05,-1.0449391666686737e-05,2.902012333341705e-06,E2\E2_dual_camera_height_scan\run_20260808_145501\raw\E2_dual_height_raw_20260808_145501.csv
E2,ihawk1,marker_0_TL,15.0,20260808_145501,corner1,0,3,230.96293633333335,209.04968266666665,0.014893247004368584,0.008836274460041106,0.0002218088063331338,-9.683605283313173e-05,-9.683605283313173e-05,7.807974633317473e-05,E2\E2_dual_camera_height_scan\run_20260808_145501\raw\E2_dual_height_raw_20260808_145501.csv
E2,ihawk1,marker_0_TL,15.0,20260808_145501,corner2,0,3,243.952952,221.63642366666667,0.00017666918236902926,5.793387035042251e-05,3.121199999894132e-08,-6.222000001579526e-09,-6.222000001579526e-09,3.356333333779565e-09,E2\E2_dual_camera_height_scan\run_20260808_145501\raw\E2_dual_height_raw_20260808_145501.csv
E2,ihawk1,marker_0_TL,15.0,20260808_145501,corner3,0,3,215.65324933333332,230.859014,0.023107547475519304,0.00838961810810966,0.0005339587503333786,6.084806700010185e-05,6.084806700010185e-05,7.038569199992151e-05,E2\E2_dual_camera_height_scan\run_20260808_145501\raw\E2_dual_height_raw_20260808_145501.csv
E2,ihawk1,marker_0_TL,15.0,20260808_151001,marker_center,0,3,224.749353,219.41858433333334,0.011653026259295988,0.004817663576196239,0.00013579302099984183,4.26012145000281e-05,4.26012145000281e-05,2.3209882333407933e-05,E2\E2_dual_camera_height_scan\run_20260808_151001\raw\E2_dual_height_raw_20260808_151001.csv
E2,ihawk1,marker_0_TL,15.0,20260808_151001,corner0,0,3,204.57085166666664,217.00981166666665,0.011726444232304284,0.02202021183670945,0.00013750949433334242,0.00016384012433333787,0.00016384012433333787,0.00048488972933355895,E2\E2_dual_camera_height_scan\run_20260808_151001\raw\E2_dual_height_raw_20260808_151001.csv
