run_id,camera_id,motion_tier,motion_scenario,translation_mm,rotation_deg,pixel_noise_sigma_px,height_gt_mm,method,n_planned,n_success,success_rate,xy_mean_mm,xy_rmse_mm,xy_median_mm,xy_p95_mm,z_rmse_mm,error_3d_rmse_mm
20260808_141232,ihawk1,1,S1_small,5.0,0.5,1.0,25.0,OracleMotionAwarePnP,250,250,1.0,12.2878821299464,15.471683836851854,10.005374728217086,32.34317624212994,9.87223851812288,18.35304045945009
20260808_141232,ihawk1,1,S1_small,5.0,0.5,1.0,25.0,RelocalizedPnP,250,250,1.0,12.365254808521545,15.512408457677937,9.736759312939355,31.826449656956704,9.961998000300895,18.43573216110055
20260808_141232,ihawk1,1,S1_small,5.0,0.5,1.0,50.0,DynamicHomography,250,250,1.0,84.80331845412863,85.10390518948505,84.71296107602302,96.10620529389745,50.0,98.70498811357439
20260808_141232,ihawk1,1,S1_small,5.0,0.5,1.0,50.0,FrozenExtrinsicPnP,250,250,1.0,12.676927000428197,15.449895647797044,10.597472683162263,31.935163465486394,9.597764885675284,18.188357988793808
20260808_141232,ihawk1,1,S1_small,5.0,0.5,1.0,50.0,FrozenHomography,250,250,1.0,82.88629315492689,83.77089322634085,82.20414322715058,104.49796126491006,50.0,97.55799583806034
20260808_141232,ihawk1,1,S1_small,5.0,0.5,1.0,50.0,OracleMotionAwarePnP,250,250,1.0,11.468285888565562,14.644767889996546,8.782193455876346,29.569685171359534,8.66182175265958,17.014593225426243
20260808_141232,ihawk1,1,S1_small,5.0,0.5,1.0,50.0,RelocalizedPnP,250,250,1.0,11.523872735574024,14.700539490443235,8.773545215241363,28.925671788146104,8.755072361944832,17.110147672447813
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.1,0.0,DynamicHomography,250,250,1.0,0.17323490191384813,0.1996127153750108,0.1525883470505617,0.3715927757243449,0.0,0.1996127153750108
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.1,0.0,FrozenExtrinsicPnP,250,250,1.0,20.21974906481982,21.559022862477185,19.06116665609143,33.93415225847498,13.094502053319419,25.224144203702938
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.1,0.0,FrozenHomography,250,250,1.0,29.494331749251547,31.813228997943593,27.630091951373892,51.663028163618236,0.0,31.813228997943593
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.1,0.0,OracleMotionAwarePnP,250,250,1.0,1.3363860476790836,1.6789896940747664,1.059781007517738,3.2811276410893915,1.1244572620653357,2.020745042557509
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.1,0.0,RelocalizedPnP,250,250,1.0,1.3844066941891033,1.7254699582309203,1.0744393125065608,3.219463872609234,1.1558228193452644,2.0768179906955373
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.1,10.0,DynamicHomography,250,250,1.0,15.039655660745844,15.093446644033286,14.991755314626623,17.01657442265857,10.0,18.10558288474248
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.1,10.0,FrozenExtrinsicPnP,250,250,1.0,20.169895636683155,21.51579186146608,19.109443660122608,33.93335693245307,13.1326198129693,25.207042717818442
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.1,10.0,FrozenHomography,250,250,1.0,34.47160183034249,38.21660676912314,35.03546668112524,60.931746362414806,10.0,39.50327876196846
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.1,10.0,OracleMotionAwarePnP,250,250,1.0,1.3146174754439914,1.649040120501933,1.0580242554746566,3.3460149402247175,1.0849737659308756,1.9739557724992869
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.1,10.0,RelocalizedPnP,250,250,1.0,1.3373921123497134,1.6681429838334823,1.0808563648109324,3.373941358669029,1.0977128025808798,1.9969162254493409
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.1,25.0,DynamicHomography,250,250,1.0,39.3103379514632,39.44547363703658,39.29824717760239,44.66258001532272,25.0,46.70059304173929
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.1,25.0,FrozenExtrinsicPnP,250,250,1.0,19.86802515442238,21.252021395705718,18.650162897826046,33.66583877509672,13.04376125352927,24.93567967877766
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.1,25.0,FrozenHomography,250,250,1.0,51.34013169839385,56.394102545910435,52.58158690351586,88.42351846961252,25.0,61.687071594935205
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.1,25.0,OracleMotionAwarePnP,250,250,1.0,1.3410451104627241,1.6659295173756934,1.1458239217736308,3.095641647271728,1.037762276759158,1.9627204844113595
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.1,25.0,RelocalizedPnP,250,250,1.0,1.3796067067269149,1.7115010849046035,1.1515684915751792,3.13061970286961,1.073839963758459,2.0204871272528324
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.1,50.0,DynamicHomography,250,250,1.0,85.08619776642625,85.38197050987642,84.96653207612519,96.55443601315189,50.0,98.94483760231965
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.1,50.0,FrozenExtrinsicPnP,250,250,1.0,19.578430662190943,20.932918691452638,18.234468814452637,33.33824556388305,13.127219086714204,24.70852010731442
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.1,50.0,FrozenHomography,250,250,1.0,93.6838723537496,98.94505382435808,95.44780621985808,142.73369388080647,50.0,110.86083021656079
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.1,50.0,OracleMotionAwarePnP,250,250,1.0,1.2222037866539313,1.5302958295877958,0.9844134047844959,3.0947210607092313,0.9020514094055224,1.7763732916434791
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.1,50.0,RelocalizedPnP,250,250,1.0,1.209653215613504,1.5167342829479225,0.9204974208497834,3.139592342358534,0.8884873628238344,1.7578090564584086
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.5,0.0,DynamicHomography,250,250,1.0,0.8852632858341237,1.0395322834958656,0.817289493299278,1.9063714385850428,0.0,1.0395322834958656
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.5,0.0,FrozenExtrinsicPnP,250,250,1.0,19.663454758705853,21.689706842107032,18.884140429907752,34.882826370764,11.951351934814024,24.76445428363661
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.5,0.0,FrozenHomography,250,250,1.0,25.27173911430777,28.13946502444947,24.869153117191637,44.75836797067431,0.0,28.13946502444947
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.5,0.0,OracleMotionAwarePnP,250,250,1.0,6.533582165338663,8.150089359032986,5.318451415540169,15.495038508882207,5.497541110328767,9.830916275707853
