run_id,height_gt_mm,model,source,n_expected_markers,n_accepted_markers,coverage,complete_five_marker_metric,xy_rmse_mm,xy_mean_mm,xy_p95_mm,inter_camera_disagreement_mean_mm
20260808_141232,0.0,Affine,ihawk2,5,5,1.0,1,12.689099885474542,12.305887142189535,15.376482573780029,11.618653679431533
20260808_141232,0.0,Affine,EqualFusion,5,5,1.0,1,10.638627419543935,10.338830639859136,14.022955847875178,11.618653679431533
20260808_141232,0.0,Affine,LOOWeightedFusion,5,5,1.0,1,10.597583249947197,10.301450217005707,14.053349402968966,11.618653679431533
20260808_141232,0.0,Affine,LOOWeightedGated,5,5,1.0,1,10.597583249947197,10.301450217005707,14.053349402968966,11.618653679431533
20260808_141232,0.0,Homography,ihawk1,5,5,1.0,1,0.3725686005967372,0.2886171955844969,0.6204819876482801,0.3812511781471261
20260808_141232,0.0,Homography,ihawk2,5,5,1.0,1,0.17208838765992066,0.15046079550976835,0.26734343819947703,0.3812511781471261
20260808_141232,0.0,Homography,EqualFusion,5,5,1.0,1,0.1429183302824428,0.11534756634014025,0.24346307248665294,0.3812511781471261
20260808_141232,0.0,Homography,LOOWeightedFusion,5,5,1.0,1,0.10134282130338937,0.08086230112016043,0.17365928338462058,0.3812511781471261
20260808_141232,0.0,Homography,LOOWeightedGated,5,2,0.4,0,0.06107210354664819,0.061066975377041796,0.06177925581967246,0.3812511781471261
20260808_141232,0.0,PnP,ihawk1,5,5,1.0,1,5.407011693290463,5.259540937262022,6.693696242426494,4.8909163074067274
20260808_141232,0.0,PnP,ihawk2,5,5,1.0,1,3.208559254863774,3.027581827069935,4.571074708191396,4.8909163074067274
20260808_141232,0.0,PnP,EqualFusion,5,5,1.0,1,3.536810633764343,3.43976957959798,4.545329612058225,4.8909163074067274
20260808_141232,0.0,PnP,LOOWeightedFusion,5,5,1.0,1,3.0778388348116454,2.885988719390018,4.492070614786968,4.8909163074067274
20260808_141232,0.0,PnP,LOOWeightedGated,5,5,1.0,1,3.0778388348116454,2.885988719390018,4.492070614786968,4.8909163074067274
20260808_141232,5.0,Affine,ihawk1,5,5,1.0,1,16.454458170231433,14.566750523578497,22.35307271852828,12.942254619399813
20260808_141232,5.0,Affine,ihawk2,5,5,1.0,1,14.972605140458764,14.547878840482426,19.644663769593315,12.942254619399813
20260808_141232,5.0,Affine,EqualFusion,5,5,1.0,1,14.20859332217026,12.86394786528192,19.94462724074817,12.942254619399813
