height_gt_mm,model,fusion_source,best_single_camera,best_single_xy_rmse_mean_mm,fusion_xy_rmse_mean_mm,fusion_minus_best_single_mm,relative_change_vs_best_single_percent,mean_marker_coverage
35.0,Homography,LOOWeightedFusion,ihawk2,43.39649207491689,42.42205232809456,-0.974439746822334,-2.245434366308052,1.0
35.0,Homography,LOOWeightedGated,ihawk2,43.39649207491689,nan,nan,nan,0.0
35.0,PnP,EqualFusion,ihawk2,4.33130728797992,6.198468729071726,1.867161441091806,43.10849627948315,1.0
35.0,PnP,LOOWeightedFusion,ihawk2,4.33130728797992,4.4624910795335495,0.1311837915536298,3.02873434811901,1.0
35.0,PnP,LOOWeightedGated,ihawk2,4.33130728797992,4.398482677274595,0.06717538929467537,1.5509264254027408,0.8400000000000001
40.0,Affine,EqualFusion,ihawk2,45.25313441694642,44.50006569090345,-0.7530687260429758,-1.6641250064679853,1.0
40.0,Affine,LOOWeightedFusion,ihawk2,45.25313441694642,45.139997563603444,-0.1131368533429793,-0.2500088773974775,1.0
40.0,Affine,LOOWeightedGated,ihawk2,45.25313441694642,nan,nan,nan,0.0
40.0,Homography,EqualFusion,ihawk2,49.67336296320697,50.70467156205828,1.0313085988513109,2.0761803456214563,1.0
40.0,Homography,LOOWeightedFusion,ihawk2,49.67336296320697,48.655810062331206,-1.0175529008757636,-2.0484880430371994,1.0
40.0,Homography,LOOWeightedGated,ihawk2,49.67336296320697,nan,nan,nan,0.0
40.0,PnP,EqualFusion,ihawk2,4.506967315406918,6.054061507521196,1.5470941921142778,34.326723134325555,1.0
40.0,PnP,LOOWeightedFusion,ihawk2,4.506967315406918,4.568207629309586,0.06124031390266804,1.3587920572070729,1.0
40.0,PnP,LOOWeightedGated,ihawk2,4.506967315406918,3.9527600474311173,-0.5542072679758006,-12.296678213779396,0.8
45.0,Affine,EqualFusion,ihawk2,50.794884814757744,50.687672503551504,-0.10721231120623997,-0.21106910980747207,1.0
45.0,Affine,LOOWeightedFusion,ihawk2,50.794884814757744,51.464066015802715,0.6691812010449709,1.3174184831511808,1.0
45.0,Affine,LOOWeightedGated,ihawk2,50.794884814757744,nan,nan,nan,0.0
45.0,Homography,EqualFusion,ihawk2,56.88091604915023,58.75363324713159,1.872717197981359,3.292347114035862,1.0
45.0,Homography,LOOWeightedFusion,ihawk2,56.88091604915023,56.098785301910915,-0.7821307472393144,-1.3750319115175345,1.0
45.0,Homography,LOOWeightedGated,ihawk2,56.88091604915023,nan,nan,nan,0.0
45.0,PnP,EqualFusion,ihawk2,5.456844103387732,6.041226221165751,0.5843821177780182,10.709159116626047,1.0
45.0,PnP,LOOWeightedFusion,ihawk2,5.456844103387732,5.203041913143776,-0.253802190243956,-4.651080101159383,1.0
45.0,PnP,LOOWeightedGated,ihawk2,5.456844103387732,4.197492024395337,-1.2593520789923955,-23.078395774776876,0.8400000000000001
50.0,Affine,EqualFusion,ihawk2,56.43220216821089,55.636911585540545,-0.7952905826703471,-1.4092850395945495,1.0
50.0,Affine,LOOWeightedFusion,ihawk2,56.43220216821089,56.43899998543533,0.006797817224438063,0.01204598963580297,1.0
50.0,Affine,LOOWeightedGated,ihawk2,56.43220216821089,nan,nan,nan,0.0
50.0,Homography,EqualFusion,ihawk2,64.26300350417446,65.34154048277465,1.0785369786001837,1.6783171028259254,1.0
50.0,Homography,LOOWeightedFusion,ihawk2,64.26300350417446,62.80312249921708,-1.4598810049573814,-2.2717285613059603,1.0
50.0,Homography,LOOWeightedGated,ihawk2,64.26300350417446,nan,nan,nan,0.0
50.0,PnP,EqualFusion,ihawk2,4.543508914828378,6.596396296302915,2.0528873814745374,45.18286240783311,1.0
50.0,PnP,LOOWeightedFusion,ihawk2,4.543508914828378,4.779098033921005,0.23558911909262736,5.1851800779734205,1.0
50.0,PnP,LOOWeightedGated,ihawk2,4.543508914828378,4.439805081683435,-0.10370383314494269,-2.282461311047299,0.8400000000000001
