run_id,height_gt_mm,estimate_source,estimate_xy_rmse_mm,stereo_xy_rmse_mm,estimate_minus_stereo_xy_mm,estimate_z_rmse_mm,stereo_z_rmse_mm,estimate_minus_stereo_z_mm,estimate_3d_rmse_mm,stereo_3d_rmse_mm,estimate_minus_stereo_3d_mm,stereo_lower_3d_error
20260808_131913,10.0,EqualXYZ,6.420420082317266,4.020340250825635,2.400079831491631,4.405622743308217,1.7099714347461528,2.695651308562064,7.786610674085193,4.368882928170145,3.4177277459150472,1
20260808_131913,10.0,LOOWeightedXYZ,6.02836313254053,4.020340250825635,2.0080228817148953,3.859282680726646,1.7099714347461528,2.1493112459804933,7.157878517237529,4.368882928170145,2.788995589067384,1
20260808_131913,15.0,ihawk1,7.741190093271269,3.373575890482938,4.367614202788332,5.431553076586224,1.2569865781080314,4.1745664984781925,9.456626929510042,3.600142989714643,5.8564839397954,1
20260808_131913,15.0,ihawk2,6.010835015843663,3.373575890482938,2.6372591253607256,4.2893893900656215,1.2569865781080314,3.0324028119575903,7.3843753241083165,3.600142989714643,3.7842323343936735,1
20260808_131913,15.0,EqualXYZ,5.847307758817478,3.373575890482938,2.47373186833454,4.597384323782326,1.2569865781080314,3.340397745674295,7.4382088332397975,3.600142989714643,3.8380658435251545,1
20260808_131913,15.0,LOOWeightedXYZ,5.665545619059179,3.373575890482938,2.291969728576241,4.334733991555129,1.2569865781080314,3.0777474134470975,7.133605395533461,3.600142989714643,3.533462405818818,1
20260808_131913,20.0,ihawk1,8.99704430420057,4.929241450174549,4.06780285402602,5.587144028357932,1.835692585966559,3.7514514423913736,10.590702743697587,5.259960888095223,5.330741855602365,1
20260808_131913,20.0,ihawk2,7.126688901776607,4.929241450174549,2.1974474516020575,3.698140688255144,1.835692585966559,1.862448102288585,8.029068392586657,5.259960888095223,2.7691075044914344,1
20260808_131913,20.0,EqualXYZ,7.297533298323362,4.929241450174549,2.3682918481488127,4.425359202004553,1.835692585966559,2.589666616037994,8.534506213420002,5.259960888095223,3.2745453253247794,1
20260808_131913,20.0,LOOWeightedXYZ,6.982190511441775,4.929241450174549,2.052949061267226,3.9092293889961365,1.835692585966559,2.0735368030295778,8.002065905368354,5.259960888095223,2.742105017273132,1
20260808_131913,25.0,ihawk1,9.079101328998155,5.05624315771911,4.0228581712790445,4.36341070669166,1.8499112166698686,2.5134994900217915,10.07320375736972,5.384028824174543,4.6891749331951775,1
20260808_131913,25.0,ihawk2,7.0647610593738674,5.05624315771911,2.0085179016547574,3.586926147138372,1.8499112166698686,1.7370149304685036,7.9231867333207715,5.384028824174543,2.539157909146229,1
20260808_131913,25.0,EqualXYZ,6.931432406331773,5.05624315771911,1.8751892486126627,3.1553641071930976,1.8499112166698686,1.305452890523229,7.615843870019183,5.384028824174543,2.23181504584464,1
20260808_131913,25.0,LOOWeightedXYZ,6.7000160408404525,5.05624315771911,1.6437728831213425,3.212248944061838,1.8499112166698686,1.3623377273919692,7.430259633831497,5.384028824174543,2.0462308096569544,1
20260808_131913,30.0,ihawk1,9.997054236977622,3.3632690307841866,6.633785206193435,6.146971701662125,1.4015019854651158,4.745469716197009,11.735687219677729,3.643595255883214,8.092091963794514,1
20260808_131913,30.0,ihawk2,5.945105196126261,3.3632690307841866,2.5818361653420743,3.6986001789951026,1.4015019854651158,2.297098193529987,7.001708297056517,3.643595255883214,3.358113041173303,1
20260808_131913,30.0,EqualXYZ,6.555949671552037,3.3632690307841866,3.1926806407678505,4.261844988614893,1.4015019854651158,2.860343003149777,7.819450031997463,3.643595255883214,4.1758547761142495,1
20260808_131913,30.0,LOOWeightedXYZ,5.696342647675462,3.3632690307841866,2.3330736168912756,3.6903234342828513,1.4015019854651158,2.2888214488177354,6.787253244821757,3.643595255883214,3.143657988938543,1
20260808_131913,35.0,ihawk1,6.837956267667982,4.082707709736188,2.755248557931794,5.93395669482185,1.9169428382066191,4.017013856615231,9.05370023661933,4.510340573403627,4.5433596632157025,1
20260808_131913,35.0,ihawk2,4.534130476516311,4.082707709736188,0.45142276678012294,3.64503478189072,1.9169428382066191,1.728091943684101,5.817612718226194,4.510340573403627,1.3072721448225666,1
20260808_131913,35.0,EqualXYZ,4.486060715025024,4.082707709736188,0.4033530052888361,4.733907048408488,1.9169428382066191,2.816964210201869,6.5218568430978605,4.510340573403627,2.0115162696942335,1
