height_gt_mm,model,source,n_independent_rebuilds,n_complete_rebuilds,mean_marker_coverage,xy_rmse_mean_mm,xy_rmse_sd_mm,xy_rmse_p95_across_rebuilds_mm,inter_camera_disagreement_mean_mm,conditional_error_warning
35.0,PnP,ihawk1,5,5,1.0,10.01612723037189,3.8848060576958456,15.323370310650967,8.064146844659279,0
35.0,PnP,ihawk2,5,5,1.0,4.33130728797992,1.272189575771658,5.734645522501892,8.064146844659279,0
35.0,PnP,EqualFusion,5,5,1.0,6.198468729071726,2.74519146101952,9.947096291213535,8.064146844659279,0
35.0,PnP,LOOWeightedFusion,5,5,1.0,4.4624910795335495,1.7060151736054525,6.366608873374446,8.064146844659279,0
35.0,PnP,LOOWeightedGated,5,1,0.8400000000000001,4.398482677274595,1.4556964033980362,5.973140948246368,8.064146844659279,1
40.0,Affine,ihawk1,5,5,1.0,55.746594329561994,2.5400155264397806,58.784462913059684,47.343359990593044,0
40.0,Affine,ihawk2,5,5,1.0,45.25313441694642,2.112856679290838,47.47734481826225,47.343359990593044,0
40.0,Affine,EqualFusion,5,5,1.0,44.50006569090345,2.4617448367796193,47.05029615666993,47.343359990593044,0
40.0,Affine,LOOWeightedFusion,5,5,1.0,45.139997563603444,2.498358002654037,47.78129785349351,47.343359990593044,0
40.0,Affine,LOOWeightedGated,5,0,0.0,nan,nan,nan,47.343359990593044,1
40.0,Homography,ihawk1,5,5,1.0,63.850680357555646,3.114059302734967,67.70702970148318,52.936611878784255,0
40.0,Homography,ihawk2,5,5,1.0,49.67336296320697,2.5062812043348646,52.33200191365503,52.936611878784255,0
40.0,Homography,EqualFusion,5,5,1.0,50.70467156205828,2.9182174490804447,53.89223761147252,52.936611878784255,0
40.0,Homography,LOOWeightedFusion,5,5,1.0,48.655810062331206,3.0521750023460417,51.904939129707635,52.936611878784255,0
40.0,Homography,LOOWeightedGated,5,0,0.0,nan,nan,nan,52.936611878784255,1
40.0,PnP,ihawk1,5,5,1.0,9.733628842853221,1.5819120557494082,10.874021205339725,8.397114700805375,0
40.0,PnP,ihawk2,5,5,1.0,4.506967315406918,1.7090790863842507,6.854240583432459,8.397114700805375,0
40.0,PnP,EqualFusion,5,5,1.0,6.054061507521196,0.8224245538958121,7.078966524452732,8.397114700805375,0
40.0,PnP,LOOWeightedFusion,5,5,1.0,4.568207629309586,1.2308990338759171,6.149851813750358,8.397114700805375,0
40.0,PnP,LOOWeightedGated,5,2,0.8,3.9527600474311173,0.9744901857997768,5.165689972219167,8.397114700805375,1
45.0,Affine,ihawk1,5,5,1.0,63.71733557899307,3.2902838299668544,67.56635892735608,53.350537327444954,0
45.0,Affine,ihawk2,5,5,1.0,50.794884814757744,1.9973440679491565,53.0860085720787,53.350537327444954,0
45.0,Affine,EqualFusion,5,5,1.0,50.687672503551504,2.8387321375430217,53.734565300617085,53.350537327444954,0
45.0,Affine,LOOWeightedFusion,5,5,1.0,51.464066015802715,2.925411248641615,54.6513382068655,53.350537327444954,0
45.0,Affine,LOOWeightedGated,5,0,0.0,nan,nan,nan,53.350537327444954,1
45.0,Homography,ihawk1,5,5,1.0,74.18411288796385,4.064607432148308,79.03031681640839,60.546425485506674,0
45.0,Homography,ihawk2,5,5,1.0,56.88091604915023,2.494577217414386,59.739441847682215,60.546425485506674,0
45.0,Homography,EqualFusion,5,5,1.0,58.75363324713159,3.4755844098609865,62.67920052901711,60.546425485506674,0
45.0,Homography,LOOWeightedFusion,5,5,1.0,56.098785301910915,3.45593149741264,60.090378230311835,60.546425485506674,0
45.0,Homography,LOOWeightedGated,5,0,0.0,nan,nan,nan,60.546425485506674,1
45.0,PnP,ihawk1,5,5,1.0,9.88023264382531,3.0518686833854627,14.014044871361104,8.805042130235678,0
45.0,PnP,ihawk2,5,5,1.0,5.456844103387732,4.621778121051212,11.666674140966178,8.805042130235678,0
45.0,PnP,EqualFusion,5,5,1.0,6.041226221165751,2.465904315206558,9.386010798611625,8.805042130235678,0
45.0,PnP,LOOWeightedFusion,5,5,1.0,5.203041913143776,3.836354798070974,10.431174791096256,8.805042130235678,0
45.0,PnP,LOOWeightedGated,5,1,0.8400000000000001,4.197492024395337,1.6859833489236675,6.33914473773684,8.805042130235678,1
50.0,Affine,ihawk1,5,5,1.0,69.63054696283558,3.0712568196365844,73.53355738141829,59.2898362870521,0
50.0,Affine,ihawk2,5,5,1.0,56.43220216821089,1.986798028713837,58.47295939991842,59.2898362870521,0
50.0,Affine,EqualFusion,5,5,1.0,55.636911585540545,2.727687294078298,59.00493949982664,59.2898362870521,0
50.0,Affine,LOOWeightedFusion,5,5,1.0,56.43899998543533,2.799076631472192,59.914573049987496,59.2898362870521,0
50.0,Affine,LOOWeightedGated,5,0,0.0,nan,nan,nan,59.2898362870521,1
50.0,Homography,ihawk1,5,5,1.0,81.9739340334776,3.9210590494206192,87.13901050082951,67.93296417413075,0
50.0,Homography,ihawk2,5,5,1.0,64.26300350417446,2.524356578796515,66.93062714356216,67.93296417413075,0
50.0,Homography,EqualFusion,5,5,1.0,65.34154048277465,3.4643222191755134,69.74638697293608,67.93296417413075,0
50.0,Homography,LOOWeightedFusion,5,5,1.0,62.80312249921708,3.5125302579788715,67.20529328638943,67.93296417413075,0
50.0,Homography,LOOWeightedGated,5,0,0.0,nan,nan,nan,67.93296417413075,1
50.0,PnP,ihawk1,5,5,1.0,10.629588270865899,3.4391618290131887,14.976188100511706,8.733740195752418,0
50.0,PnP,ihawk2,5,5,1.0,4.543508914828378,0.9627181585498404,5.560779262643359,8.733740195752418,0
50.0,PnP,EqualFusion,5,5,1.0,6.596396296302915,2.237369443435673,9.510754793409236,8.733740195752418,0
