run_id,height_gt_mm,source,n_markers,xy_rmse_mm,z_rmse_mm,error3d_rmse_mm
20260808_162715,0.0,LOOWeightedXYZ,5,3.3331361021856476,3.043708452713812,4.513752033598527
20260808_162715,5.0,ihawk1,5,7.710717747581894,4.337546914736488,8.847004092935327
20260808_162715,5.0,ihawk2,5,7.431658678646156,6.126192816007587,9.631188355275775
20260808_162715,5.0,EqualXYZ,5,5.736436157285491,3.533796315585199,6.737537843059276
20260808_162715,5.0,LOOWeightedXYZ,5,6.394516240764052,4.921025814312437,8.068849547396741
20260808_162715,10.0,ihawk1,5,9.45408492582196,7.314696714483817,11.953430880275937
20260808_162715,10.0,ihawk2,5,6.490990110210061,5.471848416329305,8.48964532251674
20260808_162715,10.0,EqualXYZ,5,7.2487564576836006,6.201701922273589,9.539684319490958
20260808_162715,10.0,LOOWeightedXYZ,5,6.557632551861854,5.695419048158729,8.685640035102047
20260808_162715,15.0,ihawk1,5,9.583495523501401,5.701118908312157,11.151060185277712
20260808_162715,15.0,ihawk2,5,5.693653518825825,3.314354776207824,6.5880678483914625
20260808_162715,15.0,EqualXYZ,5,6.915454627784885,4.360396875106811,8.175363821714152
20260808_162715,15.0,LOOWeightedXYZ,5,5.911340660798173,3.6631304457611864,6.95431327096129
20260808_162715,20.0,ihawk1,5,10.343090497333208,6.093080158374388,12.004380319383426
20260808_162715,20.0,ihawk2,5,5.501509540870136,3.721117105532452,6.64178588493873
20260808_162715,20.0,EqualXYZ,5,7.002618308939706,4.660138105569362,8.41151296400815
20260808_162715,20.0,LOOWeightedXYZ,5,5.730181701254125,3.9967697961421154,6.986354638346204
20260808_162715,25.0,ihawk1,5,9.487663067419764,5.541167162454242,10.987278280044709
20260808_162715,25.0,ihawk2,5,4.648507709235255,2.89858391722521,5.478176032952596
20260808_162715,25.0,EqualXYZ,5,6.189779009189046,3.9510574034121007,7.343311159664616
20260808_162715,25.0,LOOWeightedXYZ,5,4.8865550091362,3.19918132643847,5.840649023588619
20260808_162715,30.0,ihawk1,5,10.103408263997904,5.569829748020535,11.536978025937106
20260808_162715,30.0,ihawk2,5,5.38969014025932,3.210200285578033,6.273288267052123
20260808_162715,30.0,EqualXYZ,5,6.9834257995367155,4.149701867650258,8.123315917038747
20260808_162715,30.0,LOOWeightedXYZ,5,5.7132442432998545,3.4847107491529674,6.692112430978813
20260808_162715,35.0,ihawk1,5,9.943840436837117,5.967079189664063,11.596809763421962
20260808_162715,35.0,ihawk2,5,5.885385003905355,3.6972554260964996,6.950356417479181
20260808_162715,35.0,EqualXYZ,5,7.029709785717897,4.6600177242978775,8.434013567820978
20260808_162715,35.0,LOOWeightedXYZ,5,6.017143276735285,4.0081077573437,7.229864522052912
20260808_162715,40.0,ihawk1,5,7.043966200040133,4.642025303954749,8.435985938221092
20260808_162715,40.0,ihawk2,5,7.399159568747047,6.861536815824649,10.090998454003353
20260808_162715,40.0,EqualXYZ,5,5.059004043421932,3.86798459936265,6.368267171865993
20260808_162715,40.0,LOOWeightedXYZ,5,6.105616638326251,5.494099444837049,8.213627897827191
20260808_162715,45.0,ihawk1,5,7.309155147403348,4.671293704702903,8.674372244975991
20260808_162715,45.0,ihawk2,5,4.182631496300936,2.5071687418586026,4.876505032705437
20260808_162715,45.0,EqualXYZ,5,4.900256162051617,3.4575252697944086,5.99724865625828
